anomaly_type,severity_score,metric_name,metric_family,value_kind,business_unit,show_name,channel_name,partner_name,period_start,value_numeric,local_median,previous_value,next_value,source_system,reason,series_label
spike_up,6882428983949999.00,Net profit,finance,currency,general,,,,2024-12-01,6858410.038900,-24018.945050,2320827.350500,-777725.000000,google_sheets_monthly_economics_historical,value 6858410.04 is 285.5x local median -24018.95,Net profit | bu=general
sign_flip,2509090039649999.50,Net profit,finance,currency,general,,,,2024-05-01,-1628512.911900,880577.127750,-588793.934500,1590269.182000,google_sheets_monthly_economics_historical,negative value -1628512.91 against positive history median 396206.50,Net profit | bu=general
spike_up,2489797999999999.50,Operating profit,finance,currency,b2b,,,,2026-03-01,2010949.000000,-478849.000000,-527620.000000,,planfact,value 2010949.00 is 4.2x local median -478849.00,Operating profit | bu=b2b
spike_up,2436606999999999.50,EBIT,finance,currency,b2b,,,,2026-03-01,2010949.000000,-425658.000000,-527620.000000,,planfact,value 2010949.00 is 4.7x local median -425658.00,EBIT | bu=b2b
spike_up,2436606999999999.50,EBITDA,finance,currency,b2b,,,,2026-03-01,2010949.000000,-425658.000000,-527620.000000,,planfact,value 2010949.00 is 4.7x local median -425658.00,EBITDA | bu=b2b
spike_up,2436606999999999.50,EBT,finance,currency,b2b,,,,2026-03-01,2010949.000000,-425658.000000,-527620.000000,,planfact,value 2010949.00 is 4.7x local median -425658.00,EBT | bu=b2b
spike_up,2317134999999999.50,Retained earnings,finance,currency,b2b,,,,2026-03-01,1779132.000000,-538003.000000,-538003.000000,,planfact,value 1779132.00 is 3.3x local median -538003.00,Retained earnings | bu=b2b
spike_up,2204789999999999.75,Net profit,finance,currency,b2b,,,,2026-03-01,1779132.000000,-425658.000000,-538003.000000,,planfact,value 1779132.00 is 4.2x local median -425658.00,Net profit | bu=b2b
sign_flip,1806034587699999.75,Net profit,finance,currency,general,,,,2024-04-01,-588793.934500,1217240.653200,686362.110500,-1628512.911900,google_sheets_monthly_economics_historical,negative value -588793.93 against positive history median 396206.50,Net profit | bu=general
sign_flip,1759038999999999.75,Retained earnings,finance,currency,b2c_spb,,,,2026-03-01,-705201.000000,1053838.000000,363308.000000,,planfact,negative value -705201.00 against positive history median 1052154.00,Retained earnings | bu=b2c_spb
spike_up,1415148999999999.75,Net profit,finance,currency,b2b,,,,2025-11-01,1209895.000000,-205254.000000,766158.000000,-425658.000000,planfact,value 1209895.00 is 5.9x local median -205254.00,Net profit | bu=b2b
spike_up,1415148999999999.75,Retained earnings,finance,currency,b2b,,,,2025-11-01,1209895.000000,-205254.000000,766158.000000,-2425658.000000,planfact,value 1209895.00 is 5.9x local median -205254.00,Retained earnings | bu=b2b
spike_up,1314103999999999.75,EBIT,finance,currency,b2b,,,,2025-11-01,1209895.000000,-104209.000000,766158.000000,-425658.000000,planfact,value 1209895.00 is 11.6x local median -104209.00,EBIT | bu=b2b
spike_up,1314103999999999.75,EBITDA,finance,currency,b2b,,,,2025-11-01,1209895.000000,-104209.000000,766158.000000,-425658.000000,planfact,value 1209895.00 is 11.6x local median -104209.00,EBITDA | bu=b2b
spike_up,1314103999999999.75,EBT,finance,currency,b2b,,,,2025-11-01,1209895.000000,-104209.000000,766158.000000,-425658.000000,planfact,value 1209895.00 is 11.6x local median -104209.00,EBT | bu=b2b
spike_up,1314103999999999.75,Operating profit,finance,currency,b2b,,,,2025-11-01,1209895.000000,-104209.000000,721959.000000,-478849.000000,planfact,value 1209895.00 is 11.6x local median -104209.00,Operating profit | bu=b2b
sign_flip,1141320999999999.75,EBIT,finance,currency,b2b,,,,2026-02-01,-527620.000000,613701.000000,17507.000000,2010949.000000,planfact,negative value -527620.00 against positive history median 70839.50,EBIT | bu=b2b
sign_flip,1141320999999999.75,EBITDA,finance,currency,b2b,,,,2026-02-01,-527620.000000,613701.000000,17507.000000,2010949.000000,planfact,negative value -527620.00 against positive history median 70839.50,EBITDA | bu=b2b
sign_flip,1141320999999999.75,EBT,finance,currency,b2b,,,,2026-02-01,-527620.000000,613701.000000,17507.000000,2010949.000000,planfact,negative value -527620.00 against positive history median 70839.50,EBT | bu=b2b
sign_flip,1141320999999999.75,Operating profit,finance,currency,b2b,,,,2026-02-01,-527620.000000,613701.000000,17507.000000,2010949.000000,planfact,negative value -527620.00 against positive history median 70839.50,Operating profit | bu=b2b
sign_flip,1070644999999999.88,Net profit,finance,currency,b2b,,,,2026-02-01,-538003.000000,532642.000000,-144611.000000,1779132.000000,planfact,negative value -538003.00 against positive history median 193100.00,Net profit | bu=b2b
sign_flip,1032054999999999.88,Net profit,finance,currency,b2b,,,,2025-08-01,-265897.000000,766158.000000,1597229.668000,-5920.000000,planfact,negative value -265897.00 against positive history median 193100.00,Net profit | bu=b2b
