series_label,metric_name,business_unit,show_name,channel_name,partner_name,review_attention,anomaly_count,anomaly_types,max_severity_score,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
Cost article - IT ФОТ | bu=general,Cost article - IT ФОТ,general,,,,high,8,"drop_down:2, spike_up:3, zero_gap:3",89565.40,,,,,,,,,,,,,,17550.000000,13950.000000,2550.000000,16927.000000,9700.000000,,3100.000000,7750.000000,14300.000000,10000.000000,11350.000000,20900.000000,,30617.000000,4505.000000,6400.000000,4071.000000,3931.000000,2266.000000,2678.000000,13806.000000,17482.000000,3032.000000,23641.000000,2672.000000,1671.000000,13607.000000,,30233.000000,8351.000000,16258.000000,,,24343.000000,17147.000000,,,76893.000000,,35206.000000,,76664.000000,,66589.000000,,91758.000000,,212964.000000,54810.000000,96683.000000,0.000000,32731.000000,74090.000000,28967.000000,30666.000000,0.000000,0.000000,0.000000
Cost article - Расходники (офисные) | bu=b2c_moscow,Cost article - Расходники (офисные),b2c_moscow,,,,high,10,"drop_down:5, spike_up:5",1307315.32,8800.000000,88000.000000,35000.000000,2300.000000,350.000000,6839.000000,15829.000000,22019.000000,8062.000000,33729.000000,20000.000000,55361.000000,9478.000000,14217.000000,30579.000000,88068.000000,46117.000000,22501.000000,23592.000000,162818.000000,65827.000000,60680.000000,37248.000000,25616.000000,57490.000000,109471.000000,56762.000000,50005.000000,34743.000000,71353.000000,20771.000000,38648.000000,50059.000000,48849.000000,59536.000000,61141.000000,123812.000000,123714.000000,36988.000000,68719.000000,49386.000000,48759.000000,28241.000000,53776.000000,35983.000000,30922.000000,124677.000000,54309.000000,53712.000000,72553.000000,91743.000000,67326.000000,79228.000000,45053.000000,77422.000000,69392.000000,94200.000000,105732.000000,76097.000000,80102.000000,41443.000000,83948.000000,4396.000000,71052.000000,57899.000000,23271.000000,34860.000000,146359.000000,58600.000000,51323.000000,48312.000000
Cost article - Расходы на B2B (продакшн) | bu=b2b,Cost article - Расходы на B2B (продакшн),b2b,,,,high,3,"drop_down:2, spike_up:1",192194851.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198085.000000,685245.000000,986970.000000,1224477.000000,2897615.000000,1975271.000000,30500.000000,6985992.000000
Cost article - Ремонт и обслуживание | bu=b2c_moscow,Cost article - Ремонт и обслуживание,b2c_moscow,,,,high,6,"drop_down:5, zero_gap:1",384608.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61202.000000,70736.000000,72721.000000,64701.000000,49980.000000,5398.000000,26972.000000,21869.000000,19000.000000,56200.000000,41500.000000,20900.000000,29927.000000,12700.000000,28152.000000,27909.000000,35909.000000,32482.000000,48743.000000,5953.000000,53094.000000,58306.000000,146728.000000,75258.000000,0.000000,1812.000000,3338.000000,3401.000000,23471.000000,39220.000000,50760.000000,44530.000000
Cost article - Ремонт и обслуживание | bu=b2c_spb,Cost article - Ремонт и обслуживание,b2c_spb,,,,high,6,"drop_down:3, spike_up:1, zero_gap:2",5909035.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35300.000000,32866.000000,46984.000000,78842.000000,37800.000000,15813.000000,82510.000000,59430.000000,50026.000000,43120.000000,7551.000000,312025.000000,15650.000000,12800.000000,0.000000,34456.000000,7156.000000,0.000000,57936.000000
Cost article - Ремонт/Стройка/Стройматериалы | bu=b2c_moscow,Cost article - Ремонт/Стройка/Стройматериалы,b2c_moscow,,,,high,4,zero_gap:4,1263066.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,1193682.000000,1263066.000000,1270750.000000,1162286.000000,0.000000,0.000000
Cost article - Свет/Мебель/Предметы интерьера | bu=b2c_moscow,Cost article - Свет/Мебель/Предметы интерьера,b2c_moscow,,,,high,8,"drop_down:2, spike_up:2, zero_gap:4",41093103.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,19357.000000,1176622.000000,901605.000000,118807.000000,0.000000,0.000000
Costs - Salary variable | bu=b2b,Costs - Salary variable,b2b,,,,high,15,"drop_down:6, spike_up:3, zero_gap:6",295701961.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100.000000,363920.000000,0.000000,17900.000000,10700.000000,15900.000000,201000.000000,463500.000000,270000.000000,398000.000000,,,140000.000000,30920.000000,270000.000000,,,,176649.000000,,855000.000000,4280000.000000,345000.000000,,728000.000000,0.000000,0.000000,0.000000,0.000000,2900937.000000,70000.000000,0.000000,7425.000000
Costs - Salary variable | bu=b2c_moscow,Costs - Salary variable,b2c_moscow,,,,high,7,"drop_down:4, spike_up:3",47884947.27,,,,18000.000000,,3900.000000,,,,,2000.000000,3800.000000,,7500.000000,,,,,3450.000000,9500.000000,,,12000.000000,,,,,,,6000.000000,15000.000000,,50000.000000,13610.000000,,,13450.000000,20721.000000,33099.000000,23000.000000,93000.000000,7000.000000,59200.000000,37650.000000,141200.000000,112600.000000,125748.000000,58200.000000,198593.000000,230329.000000,181802.000000,135489.000000,135195.000000,272513.000000,288324.000000,464810.000000,289598.000000,246697.000000,90892.000000,121101.000000,18987.105991,22009.547619,17898.459459,1748442.000000,2089202.000000,2469500.000000,2685000.000000,2560900.000000,3517719.000000,2873088.000000,2766346.000000
Dividends | bu=b2c_moscow,Dividends,b2c_moscow,,,,high,2,zero_gap:2,2100000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2100000.000000,2100000.000000
