row_number,first_column,second_column,filled_cell_count,has_formula,formula_cells_count
1,Бизнес Юнит,ОТЧЕТ О ДОХОДАХ и РАСХОДАХ ПО ШОУ за ,2,no,0
2,,Дата,64,no,0
3,,Статья,64,no,0
4,,"МОРФЕУС МОСКВА, ФРАНШИЗА И КОРПОРАТЫ",1,no,0
5,Москва,Проведено шоу,65,yes,14
6,Москва,Гостей,65,yes,17
7,Москва,Среднее количество гостей,41,yes,39
8,Москва,%заполняемости,65,yes,63
9,Москва,Проведено шоу оффлайн,21,no,0
10,Москва,Гостей,21,no,0
11,Москва,%заполняемости,21,yes,19
12,Москва,Проведено шоу онлайн,18,no,0
13,Москва,Гостей,18,no,0
14,Москва,%заполняемости,18,yes,16
15,Москва,Проведено СД,32,no,0
16,Москва,Гостей,32,no,0
17,Москва,Среднее количество гостей,32,yes,30
18,Москва,%заполняемости,32,yes,30
19,Москва,Реализация_шоу,65,yes,15
20,Москва,Средняя цена одного билета,17,yes,15
21,Москва,%к выручке,33,yes,30
22,Москва,Реализация_СД,32,yes,6
23,Москва,Средняя цена одного билета,17,yes,15
24,Москва,% к выручке,7,yes,5
25,B2B,Спецпроекты_корпоративы,37,yes,14
26,B2B,%к выручке,26,yes,24
27,B2B,Спецпроекты_классический репертуар,6,yes,1
28,B2B,%к выручке,2,no,0
29,B2B,Спецпроекты_СД,9,yes,1
30,B2B,% к выручке,2,no,0
31,B2B,Спецпроекты_онлайн,6,no,0
32,Москва,% к выручке,2,no,0
33,Москва,Выручка_сертификаты,59,yes,31
34,Москва,Выручка_сертификаты с понижающем кэфом,59,yes,57
35,Москва,% отнесения на выручку,59,no,0
36,Москва,%к выручке,38,yes,36
37,Франшиза,Франшиза_паушалка,13,no,0
38,Франшиза,Франшиза_роялти,11,yes,2
39,Франшиза,Франшиза_тотал,12,yes,1
40,Франшиза,Франшиза Китай,5,no,0
41,Франшиза,%к выручке,4,yes,2
42,Общее,Расчетная выручка периода (по реализации),65,yes,63
43,Москва,Переменные расходы,2,no,0
44,Москва,ЗП актеров по начислению_ классический репертуар,65,yes,18
45,Москва,% ФОТ в выручке ШОУ,65,yes,63
46,Москва,Зарплаты на 1 шоу,17,yes,15
47,Москва,ЗП актеров-Судный день,32,yes,6
48,Москва,% ФОТ в выручке СД,32,yes,30
49,Москва,Зарплата на 1 СД,17,yes,15
50,Москва,Продажи актеров,24,yes,2
51,Москва,З/п бонус админа_корпоратив,5,yes,1
52,Москва,З/п бонус админа_корпоратив театр,18,yes,3
53,Москва,З/п бонус Митя_СД,27,yes,4
54,Москва,З/п бонус Иное место Андрея,2,no,0
55,B2B,Спецпроекты_корпоративы_з/п актеров ,17,yes,2
56,B2B,Спецпроекты_корпоративы_з/п креативная команда,18,yes,5
57,Москва,"Иные выплаты актерам, надбавки",26,yes,6
58,B2B,Спецпроекты_костюмы и реквизит,11,yes,2
59,B2B,Спецпроекты_разные услуги,11,yes,2
60,B2B,Спецпроекты_классический репуртуар_з/п актеров,6,no,0
61,B2B,Спецпроекты_СД_з/п актеров,8,no,0
62,B2B,Другие затраты_Спецпроекты СД,3,no,0
63,B2B,Спецпроекты_онлайн_з/п актеров,3,no,0
64,Франшиза,З/п запуск партнеров франшиза,9,no,0
65,Франшиза,Затраты франшиза Китай,3,no,0
66,Франшиза,Затраты на реквизит для партнеров франшиза,9,yes,1
67,Москва,Комиссии платежных систем,65,yes,63
68,Москва,Комиссии платежных систем (агрегаторы),44,yes,39
69,Москва,Комиссии платежных систем (агрегаторы_МДТЗК),28,yes,25
70,Москва,Комиссии за снятие наличных,39,no,0
71,Москва,Банковское обслуживание,62,yes,16
72,Москва,Налог6%,56,yes,54
73,Москва,Налог страховые взносы,16,yes,2
74,Москва,Возвраты,35,yes,2
75,Москва,процент возвратов от выручки,29,yes,27
76,Москва,Логистика,41,yes,17
77,Москва,Прочие расходы,40,yes,24
78,СПб,Питер,7,yes,1
79,Общее,Итого переменные расходы,65,yes,63
80,Общее,Маржинальный доход,65,yes,63
81,Общее,% переменных расходов к выручке,53,yes,51
82,Москва,Маркетинг  ,2,no,0
83,Москва,Контекстная реклама_бюджет_ритейл,56,yes,4
84,Москва,Контекстная реклама_бюджет_франшиза,8,no,0
85,Москва,Контекст_ведение_ритейл,55,no,0
86,Москва,Контекст_ведение_франшиза,7,no,0
87,Москва,Контекстна реклама_корпоратив,3,no,0
88,Москва,Таргетированная реклама_бюджет,35,yes,13
89,Москва,Таргетолог_ведение,34,yes,1
