row_number;col_a;col_b;ingestion_action;target_metric_or_metrics;import_as_source;layer;note
1;Дата;Дата;Дата начала периода;;no;exclude;Нужно руками уточнить интерпретацию.
2;Диапазон;Диапазон;Две даты - можно exclude;;no;exclude;Нужно руками уточнить интерпретацию.
3;Дата для klipfolio;Дата для klipfolio;exclude;;no;exclude;Техническая дата, не метрика.
4;Поступления на счет;Поступления на счет;Exclude;;no;exclude;Нужно руками уточнить интерпретацию.
5;Поступления на счет - B2C;Поступления на счет - B2C;map_to_metric;Revenue - MscB2c;yes;source;Observed revenue metric.
6;Из них агрегаторы (вычет комиссии);Из них агрегаторы (вычет комиссии);exclude;;no;exclude;Legacy aggregate, не как отдельный fact.
7;Из них агрегаторы (вычет комиссии)МДТЗК;Из них агрегаторы (вычет комиссии)МДТЗК;exclude;;no;exclude;Legacy aggregate, не как отдельный fact.
8;билеты;билеты;map_to_metric;Number of tickets;yes;source;Observed tickets metric.
9;билеты;билеты виджет (сайт);map_to_metric;Number of tickets;yes;source;Partner split for tickets.
10;билеты;билеты яндекс афиша;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
11;билеты;билеты от остальных агрегаторов;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
12;билеты;афиша.ру;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
13;билеты;кассир;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
14;билеты;тикетленд;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
15;билеты сд;билеты сд;map_to_metric;Number of tickets;yes;source;Observed tickets metric.
16;билеты сд;билет сд виджет (сайт);map_to_metric;Number of tickets;yes;source;Partner split for tickets.
17;билеты сд;билеты сд яндекс афиша;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
18;билеты сд;билеты сд от остальных агрегаторов;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
19;билеты сд;афиша.ру;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
20;билеты сд;кассир;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
21;билеты сд;тикетленд;map_to_metric;Number of tickets;yes;source;Partner split for tickets.
22;Сертификаты (продажи);Сертификаты (продажи);map_to_metric;"Revenue; Number of certificates";yes;source;Observed certificate sales block.
23;Сертификаты (продажи);сертификаты электронные;map_to_metric;"Revenue; Number of certificates";yes;source;Partner split for certificates.
24;Сертификаты (продажи);сертификаты бумажные;map_to_metric;"Revenue; Number of certificates";yes;source;Partner split for certificates.
25;Сертификаты (продажи);сертификаты через партнеров;map_to_metric;"Revenue; Number of certificates";yes;source;Partner split for certificates.
26;Сертификаты (продажи);доля сертификатов в выручке;defer_to_calculated;;no;calculated;Ratio / calculated metric.
27;Спецпоказы (продажи) юкасса\по счету;Спецпоказы (продажи) юкасса\по счету;map_to_metric;Revenue - Other;yes;source;Observed revenue metric.
28;Другое юкасса;Другое юкасса;map_to_metric;Revenue - Other;yes;source;Observed revenue metric.
29;корпоратив;корпоратив;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
30;Сертификаты и билеты (бесплатные);Сертификаты и билеты (бесплатные);map_to_metric;Number of free certificates and tickets;yes;source;Observed metric.
31;Франшиза;Франшиза;map_to_metric;Revenue;yes;source;Observed revenue for business_unit=franchise.
32;Средств на счете;Средств на счете;map_to_metric;Account balance;yes;source;Observed balance metric.
33;Приход с депозита;Приход с депозита;map_to_metric;Revenue - Financial operations;yes;source;Observed financial operations metric.
34;Сумма возвратов;Сумма возвратов;map_to_metric;Returns amount;yes;source;Observed returns amount.
35;Сумма возвратов;По вине театра;add_metric;;no;exclude;Нужно руками уточнить интерпретацию.
36;Сумма возвратов;НЕ по вине театра;add_metric;;no;exclude;Нужно руками уточнить интерпретацию.
37;Сумма возвратов;% возвратов от выручки;defer_to_calculated;;no;calculated;Ratio / calculated metric.
38;Всего билетов (выкуплено через сайт и все агрегаторы);Всего билетов (выкуплено через сайт и все агрегаторы);map_to_metric;Number of tickets;yes;source;Observed tickets total.
39;Теракт-Возвраты;Теракт-Возвраты;exclude;;no;exclude;Crisis-specific legacy row.
40;Теракт - Оформлено сертификатами;Теракт - Оформлено сертификатами;exclude;;no;exclude;Crisis-specific legacy row.
41;Проведено шоу (БЕЗ СД);Проведено шоу (БЕЗ СД);map_to_metric;Number of shows;yes;source;Observed shows metric.
42;Отменено шоу (не СД);Отменено шоу (не СД);map_to_metric;Number of shows cancelled;yes;source;Observed cancellation metric.
43;Отменено шоу (не СД);Кол-во, где не выкуплены билеты;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
44;Отменено шоу (не СД);Кол-во из-за спецпоказов;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
45;Отменено шоу (не СД);Кол-во из-за дефицита актёров/ мастеров;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
46;Проведено СД;Проведено СД;map_to_metric;Number of shows;yes;source;Observed shows metric.
47;Отменено СД;Отменено СД;map_to_metric;Number of shows cancelled;yes;source;Observed cancellation metric.
48;Отменено СД;Кол-во, где не выкуплены билеты;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
49;Отменено СД;Кол-во из-за спецпоказов;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
50;Отменено СД;Кол-во из-за дефицита актёров/ мастеров;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
51;Зрители дошедшие (без зрителей СД);Зрители дошедшие (без зрителей СД);map_to_metric;Number of show visitors;yes;source;Observed visitors metric.
52;Зрители дошедшие СД;Зрители дошедшие СД;map_to_metric;Number of show visitors;yes;source;Observed visitors metric.
53;Зрители по сертификатам;Зрители по сертификатам;map_to_metric;Number of certificate visitors;yes;source;Observed visitors metric.
54;Сложность составления расписания (1 min-5max);Сложность составления расписания (1 min-5max);map_to_metric;Scheduling complexity;yes;source;Observed operational metric.
55;Средняя загрузка шоу (по факту дошедшие зрители);Средняя загрузка шоу (по факту дошедшие зрители);defer_to_calculated;;no;calculated;Calculated layer.
56;Средняя загрузка шоу (выкупленные билеты);Средняя загрузка шоу (выкупленные билеты);defer_to_calculated;;no;calculated;Calculated layer.
57;Средняя загрузка СД (по факту дошедшие зрители);Средняя загрузка СД (по факту дошедшие зрители);defer_to_calculated;;no;calculated;Calculated layer.
58;Средняя загрузка СД (выкупленные билеты);Средняя загрузка СД (выкупленные билеты);defer_to_calculated;;no;calculated;Calculated layer.
59;Маркетинг;Маркетинг;decompose_block;;no;exclude;Block header.
60;Маркетинг Каналы;Таргет c НДС_VK;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
61;Маркетинг Каналы;Таргет с НДС_MT;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
62;Маркетинг Каналы;Таргет с НДС_FB;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
63;Маркетинг Каналы;Ведение_таргет;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
64;Маркетинг Каналы;Youtube ведение;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
65;Маркетинг Каналы;Youtube бюджет;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
66;Маркетинг Каналы;Таргет_бюджет с НДС;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
67;Маркетинг Каналы;Контекст_бюджет с НДС_Яндекс;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
68;Маркетинг Каналы;Контекст_ведение_Яндекс;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
69;Маркетинг Каналы;Контекст_бюджет с НДС_Гугл;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
70;Маркетинг Каналы;Контекст_ведение_Гугл;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
71;Маркетинг Каналы;Пиар;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
72;Маркетинг Каналы;Прочие затраты;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
73;Маркетинг Каналы;Общие затраты;map_to_metric;Marketing costs;yes;source;Channel-level marketing cost row.
74;Маркетинг Каналы;% общ. к выручке;defer_to_calculated;;no;calculated;Ratio / calculated metric.
75;;;blank;;no;exclude;Пустая строка-разделитель.
76;САЙТ;САЙТ;decompose_block;"Website visits; Number of orders; Number of tickets; Revenue";no;exclude;Block header / mixed site block row.
77;САЙТ;cеансы (морфеус) ВИЗИТЫ БЕЗ corporative;map_to_metric;Website visits;yes;source;Observed website visits.
78;САЙТ;заказов всего (Я.билеты);map_to_metric;Number of orders;yes;source;Observed orders metric.
79;САЙТ;билетов всего (Я.билеты);map_to_metric;Number of tickets;yes;source;Observed tickets metric.
80;САЙТ;конверсия в заказ,%;defer_to_calculated;;no;calculated;Conversion ratio belongs to calculated layer.
81;САЙТ;конверсия в билет из сеанса, %;defer_to_calculated;;no;calculated;Conversion ratio belongs to calculated layer.
