row_number;col_a;col_b;ingestion_action;target_metric_or_metrics;import_as_source;layer;note;
1;Дата;01.06.2020;дата начала диапазона;;no;exclude;Нужно руками уточнить интерпретацию.;
2;Диапазон;1-7/6;exclude;;no;exclude;Нужно руками уточнить интерпретацию.;
3;;;blank;;no;exclude;Пустая строка-разделитель.;
4;Поступления на счет;40 360;map_to_metric;revenue;no;exclude;Нужно руками уточнить интерпретацию.;
5;Из них агрегаторы (вычет комиссии);;exclude;;no;exclude;Legacy aggregate, не как отдельный fact.;
6;Из них агрегаторы (вычет комиссии)ДТЗК;;exclude;;no;exclude;Legacy aggregate, не как отдельный fact.;
7;билеты;;map_to_metric;Number of tickets;yes;source;Observed tickets metric.;
8;билеты виджет (сайт);;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
9;билеты яндекс афиша;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
10;билеты от остальных агрегаторов;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
11;афиша.ру;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
12;кассир;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
13;тикетленд;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
14;билеты СД;;map_to_metric;Number of tickets;yes;source;Observed tickets metric.;
15;билет сд виджет (сайт);;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
16;билеты сд яндекс афиша;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
17;билеты сд от остальных агрегаторов;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
18;афиша.ру;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
19;кассир;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
20;тикетленд;;map_to_metric;Number of tickets;yes;source;Partner split for tickets.;
21;Сертификаты;;map_to_metric;"Revenue; Number of certificates";yes;source;Observed certificate sales block.;
22;сертификаты электронные;;map_to_metric;"Revenue; Number of certificates";yes;source;Partner split for certificates.;
23;сертификаты бумажные;;map_to_metric;"Revenue; Number of certificates";yes;source;Partner split for certificates.;
24;доля сертификатов в выручке;;defer_to_calculated;;no;calculated;Ratio / calculated metric.;
25;Спецпоказы (продажи);;map_to_metric;Revenue - Other;yes;source;Observed revenue metric.;
26;Другое юкасса\счет;;map_to_metric;Revenue - Other;yes;source;Observed revenue metric.;
27;Сертификаты и билеты (бесплатные);;map_to_metric;Number of free certificates and tickets;yes;source;Observed metric.;
28;Сумма возвратов;;map_to_metric;Returns amount;yes;source;Observed returns amount.;
29;по вине театра;;add_metric;;no;exclude;Нужно руками уточнить интерпретацию.;
30;не по вине театра;;add_metric;;no;exclude;Нужно руками уточнить интерпретацию.;
31;% возвратов от выручки;;defer_to_calculated;;no;calculated;Ratio / calculated metric.;
32;Сайт;;decompose_block;"Website visits; Number of orders; Number of tickets; Revenue";no;exclude;Block header / mixed site block row.;
33;Количество заходов на сайт;;map_to_metric;Website visits;yes;source;Observed website visits.;
34;Количество билетов ;;map_to_metric;Number of tickets;yes;source;Observed tickets metric.;
35;Количество заказов;;map_to_metric;Number of orders;yes;source;Observed orders metric.;
36;конверсия в заказ, %;;defer_to_calculated;;no;calculated;Conversion ratio belongs to calculated layer.;
37;конверсия в билет, %;;defer_to_calculated;;no;calculated;Conversion ratio belongs to calculated layer.;
38;Всего билетов (выкуплено через сайт, все агрегаторы, по ссылке);;map_to_metric;Number of tickets;yes;source;Observed tickets total.;
39;Проведено шоу всего (без СД);11;map_to_metric;Number of shows;yes;source;Observed shows metric.;
40;Отменено шоу (не СД);;map_to_metric;Number of shows cancelled;yes;source;Observed cancellation metric.;
41;Кол-во, где не выкуплены билеты;;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.;
