metric_name,status_name,value,pipeline_id,pipeline_name
Number of leads,,8,10869194,Корпоративы 2.0
Number of contacts established,Контакт установлен,6,10869194,Корпоративы 2.0
Number of qualified leads,Квалифицирован,6,10869194,Корпоративы 2.0
Number of concepts sent,Презентация проведена,0,10869194,Корпоративы 2.0
Number of creative meetings scheduled,Назначена креативная встреча,1,10869194,Корпоративы 2.0
Number of creative meetings,Креативная встреча проведена,1,10869194,Корпоративы 2.0
Number of proposals sent,КП отправлено,1,10869194,Корпоративы 2.0
Number of contracts sent,Договор отправлен,0,10869194,Корпоративы 2.0
Number of contracts approved,Договор подписан,0,10869194,Корпоративы 2.0
Number of payments received,Оплата получена,0,10869194,Корпоративы 2.0
Number of orders,Отзыв получен,0,10869194,Корпоративы 2.0
Number of lost leads,Закрыто и не реализовано,2,10869194,Корпоративы 2.0
