period_start,status,run_id,report_path,notes,exit_code
2026-01-05,partial,calculated_metrics_week_2026-01-05_79ecefa2,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-01-12,partial,calculated_metrics_week_2026-01-12_a2a6adb5,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-01-19,partial,calculated_metrics_week_2026-01-19_4c91ce9f,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-01-26,partial,calculated_metrics_week_2026-01-26_2fe65565,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-02-02,partial,calculated_metrics_week_2026-02-02_47aab262,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-02-09,partial,calculated_metrics_week_2026-02-09_6f8c2879,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-02-16,partial,calculated_metrics_week_2026-02-16_0acb1ef1,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-02-23,partial,calculated_metrics_week_2026-02-23_36e1b591,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-03-02,partial,calculated_metrics_week_2026-03-02_aa4ebd18,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-03-09,partial,calculated_metrics_week_2026-03-09_379a4c80,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-03-16,partial,calculated_metrics_week_2026-03-16_3c2e1270,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-03-23,partial,calculated_metrics_week_2026-03-23_1a5b9163,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-03-30,partial,calculated_metrics_week_2026-03-30_17011926,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-04-06,partial,calculated_metrics_week_2026-04-06_227e4b44,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-04-13,partial,calculated_metrics_week_2026-04-13_01858adb,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-04-20,partial,calculated_metrics_week_2026-04-20_e49a4732,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-04-27,partial,calculated_metrics_week_2026-04-27_ae327cd5,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-05-04,partial,calculated_metrics_week_2026-05-04_9f89100f,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-05-11,partial,calculated_metrics_week_2026-05-11_2ad7912e,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-05-18,partial,calculated_metrics_week_2026-05-18_830db54e,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
2026-05-25,partial,calculated_metrics_week_2026-05-25_67152286,/Users/Peter/Documents/Morpheus Metrics/generated/calculated_metrics_run_report.csv,,0
