unit,metric_name,scope,status,value,reason
b2c_moscow,Number of tickets,general,inserted,862,
b2c_moscow,Number of orders,general,inserted,403,
b2c_moscow,Revenue,general,inserted,4097395,
b2c_moscow,Website orders,general,inserted,279,
b2c_moscow,show_join,,skipped,40,missing_show_join
b2c_moscow,Number of tickets,show:Ответ Гиппократа,inserted,270,
b2c_moscow,Number of orders,show:Ответ Гиппократа,inserted,116,
b2c_moscow,Revenue,show:Ответ Гиппократа,inserted,1202510,
b2c_moscow,Number of tickets,show:Судный день,inserted,161,
b2c_moscow,Number of orders,show:Судный день,inserted,82,
b2c_moscow,Revenue,show:Судный день,inserted,836350,
b2c_moscow,Number of tickets,show:22'07,inserted,94,
b2c_moscow,Number of orders,show:22'07,inserted,40,
b2c_moscow,Revenue,show:22'07,inserted,409025,
b2c_moscow,Number of tickets,show:Иное место,inserted,27,
b2c_moscow,Number of orders,show:Иное место,inserted,10,
b2c_moscow,Revenue,show:Иное место,inserted,124200,
b2c_moscow,Number of tickets,show:До свадьбы доживёт,inserted,156,
b2c_moscow,Number of orders,show:До свадьбы доживёт,inserted,68,
b2c_moscow,Revenue,show:До свадьбы доживёт,inserted,691820,
b2c_moscow,Number of tickets,show:Загадка Амулета,inserted,20,
b2c_moscow,Number of orders,show:Загадка Амулета,inserted,8,
b2c_moscow,Revenue,show:Загадка Амулета,inserted,80000,
b2c_moscow,Number of tickets,show:ВДОХ,inserted,37,
b2c_moscow,Number of orders,show:ВДОХ,inserted,18,
b2c_moscow,Revenue,show:ВДОХ,inserted,160000,
b2c_moscow,Number of tickets,"show:Поезд, Чехов, два орла",inserted,57,
b2c_moscow,Number of orders,"show:Поезд, Чехов, два орла",inserted,21,
b2c_moscow,Revenue,"show:Поезд, Чехов, два орла",inserted,245040,
b2c_moscow,Number of tickets,partner:кассир,inserted,52,
b2c_moscow,Number of orders,partner:кассир,inserted,21,
b2c_moscow,Revenue,partner:кассир,inserted,250000,
b2c_moscow,Number of tickets,partner:афиша.ру,inserted,118,
b2c_moscow,Number of orders,partner:афиша.ру,inserted,59,
b2c_moscow,Revenue,partner:афиша.ру,inserted,559900,
b2c_moscow,Number of tickets,partner:яндекс.афиша,inserted,86,
b2c_moscow,Number of orders,partner:яндекс.афиша,inserted,44,
b2c_moscow,Revenue,partner:яндекс.афиша,inserted,412595,
b2c_moscow,Number of tickets,show_partner:Ответ Гиппократа:кассир,inserted,8,
b2c_moscow,Number of orders,show_partner:Ответ Гиппократа:кассир,inserted,2,
b2c_moscow,Revenue,show_partner:Ответ Гиппократа:кассир,inserted,37400,
b2c_moscow,Number of tickets,show_partner:Ответ Гиппократа:афиша.ру,inserted,43,
b2c_moscow,Number of orders,show_partner:Ответ Гиппократа:афиша.ру,inserted,20,
b2c_moscow,Revenue,show_partner:Ответ Гиппократа:афиша.ру,inserted,199900,
b2c_moscow,Number of tickets,show_partner:Судный день:яндекс.афиша,inserted,24,
b2c_moscow,Number of orders,show_partner:Судный день:яндекс.афиша,inserted,13,
b2c_moscow,Revenue,show_partner:Судный день:яндекс.афиша,inserted,132000,
b2c_moscow,Number of tickets,show_partner:Судный день:афиша.ру,inserted,19,
