unit,metric_name,scope,status,value,reason
b2c_moscow,Number of post-show survey responses,show:general,inserted,489,
b2c_moscow,Number of post-show survey responses,show:22'07,inserted,34,
b2c_moscow,Number of post-show survey responses,show:ВДОХ,inserted,27,
b2c_moscow,Number of post-show survey responses,show:До свадьбы доживёт,inserted,80,
b2c_moscow,Number of post-show survey responses,show:Загадка Амулета,inserted,23,
b2c_moscow,Number of post-show survey responses,show:Иное место,inserted,22,
b2c_moscow,Number of post-show survey responses,show:Ответ Гиппократа,inserted,187,
b2c_moscow,Number of post-show survey responses,"show:Поезд, Чехов, два орла",inserted,52,
b2c_moscow,Number of post-show survey responses,show:Судный день,inserted,64,
b2c_moscow,Number of show rating responses,show:22'07,inserted,34,
b2c_moscow,Number of show rating responses,show:ВДОХ,inserted,27,
b2c_moscow,Number of show rating responses,show:До свадьбы доживёт,inserted,80,
b2c_moscow,Number of show rating responses,show:Загадка Амулета,inserted,23,
b2c_moscow,Number of show rating responses,show:Иное место,inserted,22,
b2c_moscow,Number of show rating responses,show:Ответ Гиппократа,inserted,186,
b2c_moscow,Number of show rating responses,"show:Поезд, Чехов, два орла",inserted,52,
b2c_moscow,Number of show rating responses,show:Судный день,inserted,64,
b2c_moscow,Sum of post-show ratings,show:22'07,inserted,166,
b2c_moscow,Sum of post-show ratings,show:ВДОХ,inserted,123,
b2c_moscow,Sum of post-show ratings,show:До свадьбы доживёт,inserted,384,
b2c_moscow,Sum of post-show ratings,show:Загадка Амулета,inserted,110,
b2c_moscow,Sum of post-show ratings,show:Иное место,inserted,104,
b2c_moscow,Sum of post-show ratings,show:Ответ Гиппократа,inserted,889,
b2c_moscow,Sum of post-show ratings,"show:Поезд, Чехов, два орла",inserted,254,
b2c_moscow,Sum of post-show ratings,show:Судный день,inserted,313,
b2c_moscow,Number of source-attribution responses,show:general q2:BestBenefits,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Claude code,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Dari,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Gpt,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Kudago,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Mitya Kopylov,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:PR,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Афиша,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Блогер,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Была раньше,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Были ренее,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Друзья,inserted,2,
b2c_moscow,Number of source-attribution responses,show:general q2:Друзья рассказали,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Знакомые рассказали,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Интернет,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Искала подарок,inserted,1,
b2c_moscow,Number of source-attribution responses,"show:general q2:Карты Яндекс, Google, 2ГИС",inserted,3,
b2c_moscow,Number of source-attribution responses,show:general q2:Коллеги,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Кора рассылка,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Люди,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Марина,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Маша,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Муж пригласил на свидание,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Нас пригласили,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Наш сайт,inserted,13,
b2c_moscow,Number of source-attribution responses,show:general q2:От Маши,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:От друзей,inserted,203,
b2c_moscow,Number of source-attribution responses,show:general q2:От знакомых,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Парень,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Партнер,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Подарили сертификат,inserted,22,
b2c_moscow,Number of source-attribution responses,show:general q2:Привели на праздник,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Пригласили на тв,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Пригласили),inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Пригласительное для тв,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Приглашена на обзор,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Приглашение для тв,inserted,2,
b2c_moscow,Number of source-attribution responses,show:general q2:Приложение Афиша - партнёр Сбера,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Рассылка для агенства,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Реклама,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Реклама в интернете,inserted,27,
b2c_moscow,Number of source-attribution responses,"show:general q2:Случайно, увидела статус",inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Соц. сети,inserted,39,
b2c_moscow,Number of source-attribution responses,show:general q2:Соцсети,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Тбанк,inserted,2,
b2c_moscow,Number of source-attribution responses,show:general q2:Уже были,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Уже ходили,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Чат gpt,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Я третий раз,inserted,1,
b2c_moscow,Number of source-attribution responses,show:general q2:Яндекс / Google,inserted,54,
b2c_moscow,Number of source-attribution responses,show:general q2:Яндекс Афиша,inserted,69,
b2c_moscow,Number of source-attribution responses,"show:22'07 q2:Карты Яндекс, Google, 2ГИС",inserted,1,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Люди,inserted,1,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Наш сайт,inserted,2,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:От друзей,inserted,17,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Подарили сертификат,inserted,1,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Реклама в интернете,inserted,1,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Соц. сети,inserted,1,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Уже были,inserted,1,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Яндекс / Google,inserted,3,
b2c_moscow,Number of source-attribution responses,show:22'07 q2:Яндекс Афиша,inserted,5,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Gpt,inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Знакомые рассказали,inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Коллеги,inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Маша,inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:От Маши,inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:От друзей,inserted,8,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Подарили сертификат,inserted,2,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Привели на праздник,inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Приложение Афиша - партнёр Сбера,inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Реклама в интернете,inserted,2,
b2c_moscow,Number of source-attribution responses,"show:ВДОХ q2:Случайно, увидела статус",inserted,1,
b2c_moscow,Number of source-attribution responses,show:ВДОХ q2:Соц. сети,inserted,1,
