unit,metric_name,scope,status,value,reason
b2c_moscow,Number of post-show survey responses,show:general,inserted,85,
b2c_moscow,Number of post-show survey responses,show:22'07,inserted,6,
b2c_moscow,Number of post-show survey responses,show:ВДОХ,inserted,6,
b2c_moscow,Number of post-show survey responses,show:До свадьбы доживёт,inserted,15,
b2c_moscow,Number of post-show survey responses,show:Загадка Амулета,inserted,2,
b2c_moscow,Number of post-show survey responses,show:Иное место,inserted,2,
b2c_moscow,Number of post-show survey responses,show:Ответ Гиппократа,inserted,30,
b2c_moscow,Number of post-show survey responses,"show:Поезд, Чехов, два орла",inserted,11,
b2c_moscow,Number of post-show survey responses,show:Судный день,inserted,13,
b2c_moscow,Number of show rating responses,show:22'07,inserted,6,
b2c_moscow,Number of show rating responses,show:ВДОХ,inserted,6,
b2c_moscow,Number of show rating responses,show:До свадьбы доживёт,inserted,15,
b2c_moscow,Number of show rating responses,show:Загадка Амулета,inserted,2,
b2c_moscow,Number of show rating responses,show:Иное место,inserted,2,
b2c_moscow,Number of show rating responses,show:Ответ Гиппократа,inserted,30,
b2c_moscow,Number of show rating responses,"show:Поезд, Чехов, два орла",inserted,11,
b2c_moscow,Number of show rating responses,show:Судный день,inserted,13,
b2c_moscow,Sum of post-show ratings,show:22'07,inserted,30,
b2c_moscow,Sum of post-show ratings,show:ВДОХ,inserted,30,
b2c_moscow,Sum of post-show ratings,show:До свадьбы доживёт,inserted,73,
b2c_moscow,Sum of post-show ratings,show:Загадка Амулета,inserted,10,
b2c_moscow,Sum of post-show ratings,show:Иное место,inserted,10,
b2c_moscow,Sum of post-show ratings,show:Ответ Гиппократа,inserted,144,
b2c_moscow,Sum of post-show ratings,"show:Поезд, Чехов, два орла",inserted,53,
b2c_moscow,Sum of post-show ratings,show:Судный день,inserted,63,
b2c_moscow,Number of source-attribution responses,general:Kudago,inserted,1,
b2c_moscow,Number of source-attribution responses,general:Mitya Kopylov,inserted,1,
b2c_moscow,Number of source-attribution responses,general:PR,inserted,1,
b2c_moscow,Number of source-attribution responses,general:Была раньше,inserted,1,
b2c_moscow,Number of source-attribution responses,general:Друзья,inserted,1,
b2c_moscow,Number of source-attribution responses,general:Искала подарок,inserted,1,
b2c_moscow,Number of source-attribution responses,general:Коллеги,inserted,1,
b2c_moscow,Number of source-attribution responses,general:Марина,inserted,1,
b2c_moscow,Number of source-attribution responses,general:Наш сайт,inserted,3,
b2c_moscow,Number of source-attribution responses,general:От друзей,inserted,39,
b2c_moscow,Number of source-attribution responses,general:Партнер,inserted,1,
