unit,metric_name,scope,status,value,reason
b2c_moscow,Number of tickets,general,inserted,185,
b2c_moscow,Number of orders,general,inserted,97,
b2c_moscow,Revenue,general,inserted,888990,
b2c_moscow,Website orders,general,inserted,70,
b2c_moscow,Revenue - Show date,general,inserted,897900,
b2c_moscow,show_join,,skipped,10,missing_show_join
b2c_moscow,Number of tickets,show:Судный день,inserted,30,
b2c_moscow,Number of orders,show:Судный день,inserted,19,
b2c_moscow,Revenue,show:Судный день,inserted,165000,
b2c_moscow,Number of tickets,show:Загадка Амулета,inserted,8,
b2c_moscow,Number of orders,show:Загадка Амулета,inserted,2,
b2c_moscow,Revenue,show:Загадка Амулета,inserted,32000,
b2c_moscow,Number of tickets,show:Ответ Гиппократа,inserted,62,
b2c_moscow,Number of orders,show:Ответ Гиппократа,inserted,30,
b2c_moscow,Revenue,show:Ответ Гиппократа,inserted,276970,
b2c_moscow,Number of tickets,show:До свадьбы доживёт,inserted,32,
b2c_moscow,Number of orders,show:До свадьбы доживёт,inserted,16,
b2c_moscow,Revenue,show:До свадьбы доживёт,inserted,141300,
b2c_moscow,Number of tickets,show:ВДОХ,inserted,7,
b2c_moscow,Number of orders,show:ВДОХ,inserted,4,
b2c_moscow,Revenue,show:ВДОХ,inserted,31000,
b2c_moscow,Number of tickets,show:22'07,inserted,16,
b2c_moscow,Number of orders,show:22'07,inserted,8,
b2c_moscow,Revenue,show:22'07,inserted,72530,
b2c_moscow,Number of tickets,"show:Поезд, Чехов, два орла",inserted,16,
b2c_moscow,Number of orders,"show:Поезд, Чехов, два орла",inserted,7,
b2c_moscow,Revenue,"show:Поезд, Чехов, два орла",inserted,71440,
b2c_moscow,Number of tickets,show:Иное место,inserted,4,
b2c_moscow,Number of orders,show:Иное место,inserted,1,
b2c_moscow,Revenue,show:Иное место,inserted,18400,
b2c_moscow,Revenue - Show date,show:Судный день,inserted,233750,
b2c_moscow,Revenue - Show date,show:22'07,inserted,125500,
b2c_moscow,Revenue - Show date,show:Ответ Гиппократа,inserted,176350,
b2c_moscow,Revenue - Show date,show:До свадьбы доживёт,inserted,191300,
b2c_moscow,Revenue - Show date,show:Иное место,inserted,27600,
b2c_moscow,Revenue - Show date,"show:Поезд, Чехов, два орла",inserted,81600,
b2c_moscow,Revenue - Show date,show:ВДОХ,inserted,37800,
b2c_moscow,Revenue - Show date,show:Загадка Амулета,inserted,24000,
b2c_moscow,Number of tickets,partner:афиша.ру,inserted,21,
b2c_moscow,Number of orders,partner:афиша.ру,inserted,12,
b2c_moscow,Revenue,partner:афиша.ру,inserted,102000,
b2c_moscow,Number of tickets,partner:яндекс.афиша,inserted,21,
b2c_moscow,Number of orders,partner:яндекс.афиша,inserted,11,
b2c_moscow,Revenue,partner:яндекс.афиша,inserted,99330,
b2c_moscow,Number of tickets,partner:кассир,inserted,11,
b2c_moscow,Number of orders,partner:кассир,inserted,4,
b2c_moscow,Revenue,partner:кассир,inserted,50300,
b2c_moscow,Number of tickets,show:Судный день|partner:афиша.ру,inserted,6,
b2c_moscow,Number of orders,show:Судный день|partner:афиша.ру,inserted,4,
b2c_moscow,Revenue,show:Судный день|partner:афиша.ру,inserted,33000,
b2c_moscow,Number of tickets,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,8,
b2c_moscow,Number of orders,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,3,
b2c_moscow,Revenue,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,33200,
b2c_moscow,Number of tickets,show:ВДОХ|partner:афиша.ру,inserted,2,
b2c_moscow,Number of orders,show:ВДОХ|partner:афиша.ру,inserted,1,
b2c_moscow,Revenue,show:ВДОХ|partner:афиша.ру,inserted,9200,
b2c_moscow,Number of tickets,show:22'07|partner:афиша.ру,inserted,2,
b2c_moscow,Number of orders,show:22'07|partner:афиша.ру,inserted,1,
b2c_moscow,Revenue,show:22'07|partner:афиша.ру,inserted,9200,
b2c_moscow,Number of tickets,show:Судный день|partner:яндекс.афиша,inserted,8,
b2c_moscow,Number of orders,show:Судный день|partner:яндекс.афиша,inserted,5,
b2c_moscow,Revenue,show:Судный день|partner:яндекс.афиша,inserted,44000,
b2c_moscow,Number of tickets,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,1,
b2c_moscow,Number of orders,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,1,
b2c_moscow,Revenue,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,4600,
b2c_moscow,Number of tickets,show:До свадьбы доживёт|partner:афиша.ру,inserted,4,
b2c_moscow,Number of orders,show:До свадьбы доживёт|partner:афиша.ру,inserted,2,
