sheet_unit,period_start,period_end,row_number,col_a,col_b,ingestion_action,target_metric_or_metrics,source_system_override,status,reason,business_unit,show_name,partner_name,channel_name,source_cell_a1,source_cell_url,value_numeric
b2c_moscow,2026-05-18,2026-05-24,1,Дата,Дата,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,2,Диапазон,Диапазон,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,3,Дата для klipfolio,Дата для klipfolio,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,4,Поступления на счет,Поступления на счет,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,5,Поступления на счет - B2C,Поступления на счет - B2C,map_to_metric,Revenue,,inserted,,b2c_moscow,,,,LD5,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD5,832879
b2c_moscow,2026-05-18,2026-05-24,6,Из них агрегаторы (вычет комиссии),Из них агрегаторы (вычет комиссии),exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,7,Из них агрегаторы (вычет комиссии)МДТЗК,Из них агрегаторы (вычет комиссии)МДТЗК,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,8,билеты,билеты,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,,,LD8,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD8,555905
b2c_moscow,2026-05-18,2026-05-24,9,билеты,билеты виджет (сайт),map_to_metric,Number of tickets,,inserted,,b2c_moscow,,,,LD9,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD9,388349
b2c_moscow,2026-05-18,2026-05-24,10,билеты,билеты яндекс афиша,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,яндекс.афиша,,LD10,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD10,44460
b2c_moscow,2026-05-18,2026-05-24,11,билеты,билеты от остальных агрегаторов,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,others,,LD11,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD11,123096
b2c_moscow,2026-05-18,2026-05-24,12,билеты,афиша.ру,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,афиша.ру,,LD12,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD12,94116
b2c_moscow,2026-05-18,2026-05-24,13,билеты,кассир,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,кассир,,LD13,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD13,28980
b2c_moscow,2026-05-18,2026-05-24,14,билеты,тикетленд,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,тикетлэнд,,LD14,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD14,0
b2c_moscow,2026-05-18,2026-05-24,15,билеты сд,билеты сд,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,,,LD15,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD15,152193
b2c_moscow,2026-05-18,2026-05-24,16,билеты сд,билет сд виджет (сайт),map_to_metric,Number of tickets,,inserted,,b2c_moscow,,,,LD16,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD16,97248
b2c_moscow,2026-05-18,2026-05-24,17,билеты сд,билеты сд яндекс афиша,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,,,LD17,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD17,9900
b2c_moscow,2026-05-18,2026-05-24,18,билеты сд,билеты сд от остальных агрегаторов,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,others,,LD18,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD18,45045
b2c_moscow,2026-05-18,2026-05-24,19,билеты сд,афиша.ру,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,афиша.ру,,LD19,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD19,15345
b2c_moscow,2026-05-18,2026-05-24,20,билеты сд,кассир,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,кассир,,LD20,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD20,29700
