status,business_unit,period_start,canonical_metric,show_name,partner_name,channel_name,value_numeric,reason,rollup_source_system
inserted,b2c_moscow,2025-08-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-09-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-10-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-11-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-12-01,Annual bonuses,,,,518000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2026-01-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2026-02-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2026-03-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-08-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-09-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-10-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-11-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-12-01,Annual bonuses,,,,190000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2026-01-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2026-02-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2026-03-01,Annual bonuses,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-04-01,Costs - Salary fixed,,,,198000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-05-01,Costs - Salary fixed,,,,183000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-06-01,Costs - Salary fixed,,,,262505,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-07-01,Costs - Salary fixed,,,,50000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-08-01,Costs - Salary fixed,,,,50000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-09-01,Costs - Salary fixed,,,,291276,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-10-01,Costs - Salary fixed,,,,56000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-11-01,Costs - Salary fixed,,,,50000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-12-01,Costs - Salary fixed,,,,50000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2026-01-01,Costs - Salary fixed,,,,42500,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2026-02-01,Costs - Salary fixed,,,,85000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2026-03-01,Costs - Salary fixed,,,,136843,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2026-04-01,Costs - Salary fixed,,,,148017,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-01-01,Costs - Salary fixed,,,,15000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-02-01,Costs - Salary fixed,,,,15000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-03-01,Costs - Salary fixed,,,,45000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-04-01,Costs - Salary fixed,,,,127000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-05-01,Costs - Salary fixed,,,,127000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-06-01,Costs - Salary fixed,,,,127000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-07-01,Costs - Salary fixed,,,,77000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-08-01,Costs - Salary fixed,,,,77000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-09-01,Costs - Salary fixed,,,,47000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-10-01,Costs - Salary fixed,,,,92000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-11-01,Costs - Salary fixed,,,,100000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2020-12-01,Costs - Salary fixed,,,,105000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-01-01,Costs - Salary fixed,,,,105000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-02-01,Costs - Salary fixed,,,,163677,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-03-01,Costs - Salary fixed,,,,193284,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-04-01,Costs - Salary fixed,,,,135558,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-05-01,Costs - Salary fixed,,,,153877,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-06-01,Costs - Salary fixed,,,,160690,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-07-01,Costs - Salary fixed,,,,151063,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-08-01,Costs - Salary fixed,,,,159400,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-09-01,Costs - Salary fixed,,,,175700,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-10-01,Costs - Salary fixed,,,,166345,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-11-01,Costs - Salary fixed,,,,166349,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2021-12-01,Costs - Salary fixed,,,,245151,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-01-01,Costs - Salary fixed,,,,174050,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-02-01,Costs - Salary fixed,,,,196016,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-03-01,Costs - Salary fixed,,,,195600,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-04-01,Costs - Salary fixed,,,,191640,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-05-01,Costs - Salary fixed,,,,187603,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-06-01,Costs - Salary fixed,,,,202230,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-07-01,Costs - Salary fixed,,,,186600,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-08-01,Costs - Salary fixed,,,,186500,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-09-01,Costs - Salary fixed,,,,190800,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-10-01,Costs - Salary fixed,,,,202250,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-11-01,Costs - Salary fixed,,,,175732,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2022-12-01,Costs - Salary fixed,,,,249522,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-01-01,Costs - Salary fixed,,,,255000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-02-01,Costs - Salary fixed,,,,204513,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-03-01,Costs - Salary fixed,,,,200670,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-04-01,Costs - Salary fixed,,,,219927,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-05-01,Costs - Salary fixed,,,,214500,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-06-01,Costs - Salary fixed,,,,229238,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-07-01,Costs - Salary fixed,,,,217600,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-08-01,Costs - Salary fixed,,,,298661,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-09-01,Costs - Salary fixed,,,,259016,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-10-01,Costs - Salary fixed,,,,291275,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-11-01,Costs - Salary fixed,,,,322797,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2023-12-01,Costs - Salary fixed,,,,341729,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-01-01,Costs - Salary fixed,,,,340000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-02-01,Costs - Salary fixed,,,,371560,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-03-01,Costs - Salary fixed,,,,373500,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-04-01,Costs - Salary fixed,,,,371050,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-05-01,Costs - Salary fixed,,,,450875,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-06-01,Costs - Salary fixed,,,,449800,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-07-01,Costs - Salary fixed,,,,449800,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-08-01,Costs - Salary fixed,,,,665908,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-09-01,Costs - Salary fixed,,,,491245,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-10-01,Costs - Salary fixed,,,,554113,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-11-01,Costs - Salary fixed,,,,668721,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2024-12-01,Costs - Salary fixed,,,,662833,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-01-01,Costs - Salary fixed,,,,636249,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-02-01,Costs - Salary fixed,,,,706012,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-03-01,Costs - Salary fixed,,,,845670,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-04-01,Costs - Salary fixed,,,,559060,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-05-01,Costs - Salary fixed,,,,528956,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-06-01,Costs - Salary fixed,,,,602204,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-07-01,Costs - Salary fixed,,,,125000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-08-01,Costs - Salary fixed,,,,125000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-09-01,Costs - Salary fixed,,,,419603,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-10-01,Costs - Salary fixed,,,,385650,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-11-01,Costs - Salary fixed,,,,387640,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2025-12-01,Costs - Salary fixed,,,,378450,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2026-01-01,Costs - Salary fixed,,,,540600,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2026-02-01,Costs - Salary fixed,,,,602709,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2026-03-01,Costs - Salary fixed,,,,617266,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_moscow,2026-04-01,Costs - Salary fixed,,,,603134,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-05-01,Costs - Salary fixed,,,,100000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-06-01,Costs - Salary fixed,,,,122000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-07-01,Costs - Salary fixed,,,,125000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-08-01,Costs - Salary fixed,,,,150000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-09-01,Costs - Salary fixed,,,,150000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-10-01,Costs - Salary fixed,,,,150000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-11-01,Costs - Salary fixed,,,,165000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2024-12-01,Costs - Salary fixed,,,,165000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-01-01,Costs - Salary fixed,,,,220000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-02-01,Costs - Salary fixed,,,,212000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-03-01,Costs - Salary fixed,,,,222000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-04-01,Costs - Salary fixed,,,,395000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-05-01,Costs - Salary fixed,,,,500000,direct_from_rollup_view,derived_leaf_only_rollup
