workbook,business_unit,status,source_row_number,source_label,month_label,metric_name,value_raw,value_numeric,reason
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,7,Выручка,май 26,Revenue,4588566,4588566.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,8,Продажа билетов B2C,май 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,9,Переменные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,10,Инвестиции,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,11,Новый спектакль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,12,Новый спектакль_Закупки,май 26,Cost article - Новый спектакль_Закупки,48394,48394.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,13,Новый спектакль_Зарплаты,май 26,Cost article - Новый спектакль_Зарплаты,52500,52500.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,14,ФОТ - Переменные,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,15,Актёры ФОТ,май 26,Cost article - Актёры ФОТ,1405004,1405004.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,16,Другое,май 26,Cost article - Другое,2933,2933.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,17,Возвраты,май 26,Returns amount,9800,9800.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,18,Для спектаклей,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,19,Реквизит/костюмы,май 26,Cost article - Реквизит/костюмы,25888,25888.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,20,Маркетинг и реклама,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,21,Маркетинг и реклама - Платные размещения на площадках,май 26,Marketing costs,5500,5500.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,22,Маркетинг и реклама - Услуги типографии,май 26,Marketing costs,11400,11400.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,23,Маркетинг и реклама - Общее,май 26,Marketing costs,23500,23500.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,24,Маркетинг и реклама - PR и отзывы,май 26,Marketing costs,68400,68400.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,25,Маркетинг и реклама - SMM,май 26,Marketing costs,15300,15300.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,26,Маркетинг и реклама - Директ,май 26,Marketing costs,305000,305000.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,27,Маркетинг и реклама - Агентские,май 26,Marketing costs,229595,229595.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,28,Логистика,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,29,Доставка,май 26,Cost article - Доставка,1951,1951.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,30,Разные налоги и взносы,май 26,Cost article - Разные налоги и взносы,5460,5460.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,31,Отсмотр видео,май 26,Cost article - Отсмотр видео,51886,51886.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,32,КОМИССИИ БАНКОВ,май 26,Cost article - КОМИССИИ БАНКОВ,6110,6110.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,33,Постоянные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,34,ФОТ - Постоянные,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,35,Управленческий персонал ФОТ,май 26,Cost article - Управленческий персонал ФОТ,399880,399880.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,36,Административный персонал ФОТ,май 26,Cost article - Административный персонал ФОТ,166150,166150.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,37,Помещение и офис,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,38,Уборка,май 26,Cost article - Уборка,40500,40500.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,39,Мебель и предметы интерьера,май 26,Cost article - Мебель и предметы интерьера,12750,12750.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,40,Ремонт и обслуживание,май 26,Cost article - Ремонт и обслуживание,21000,21000.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,41,Расходники (офисные),май 26,Cost article - Расходники (офисные),46327,46327.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,42,Ежемесячные счета,май 26,Cost article - Ежемесячные счета,25691,25691.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,43,Аренда и коммуналка,май 26,Cost article - Аренда и коммуналка,610000,610000.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,44,Сервисы и их настройка,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,45,Операционная прибыль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,46,Операционная рентабельность,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,47,Прочие доходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,48,Возвраты покупок,май 26,Other income - Purchase returns,7704,7704.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,49,Проценты по вкладам,май 26,Other income - Deposit interest,6953,6953.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,50,Прочие расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,51,Амортизация,май 26,Cost article - Амортизация,-,0.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,52,Проценты по кредитам и займам,май 26,Cost article - Проценты по кредитам и займам,-,0.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,inserted,53,Налог на прибыль (доходы),май 26,Cost article - Налог на прибыль (доходы),413825,413825.0,
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,54,Чистая прибыль (убыток),май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,55,Рентабельность чистой прибыли,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,56,Дивиденды,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (11).xlsx,b2c_moscow,skipped,57,Нераспределенная прибыль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,7,Выручка,май 26,Revenue,2353725,2353725.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,8,Продажа билетов B2C,май 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,9,Переменные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,10,Инвестиции,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,11,Новый спектакль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,12,Новый спектакль_Закупки,май 26,Cost article - Новый спектакль_Закупки,82004,82004.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,13,Новый спектакль_Зарплаты,май 26,Cost article - Новый спектакль_Зарплаты,27500,27500.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,14,ФОТ - Переменные,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,15,Актёры ФОТ,май 26,Cost article - Актёры ФОТ,934400,934400.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,16,Другое,май 26,Cost article - Другое,23833,23833.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,17,Для спектаклей,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,18,Реквизит/костюмы,май 26,Cost article - Реквизит/костюмы,30153,30153.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,19,Маркетинг и реклама,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,20,Маркетинг и реклама - Общее,май 26,Marketing costs,7500,7500.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,21,Маркетинг и реклама - PR и отзывы,май 26,Marketing costs,10500,10500.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,22,Маркетинг и реклама - SMM,май 26,Marketing costs,14850,14850.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,23,Маркетинг и реклама - Директ,май 26,Marketing costs,200000,200000.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,24,Маркетинг и реклама - Агентские,май 26,Marketing costs,118004,118004.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,25,Разные налоги и взносы,май 26,Cost article - Разные налоги и взносы,2340,2340.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,26,Отсмотр видео,май 26,Cost article - Отсмотр видео,22237,22237.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,27,КОМИССИИ БАНКОВ,май 26,Cost article - КОМИССИИ БАНКОВ,2178,2178.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,28,Постоянные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,29,ФОТ - Постоянные,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,30,Управленческий персонал ФОТ,май 26,Cost article - Управленческий персонал ФОТ,268070,268070.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,31,Административный персонал ФОТ,май 26,Cost article - Административный персонал ФОТ,73225,73225.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,32,Помещение и офис,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,33,Уборка,май 26,Cost article - Уборка,18400,18400.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,34,Расходники (офисные),май 26,Cost article - Расходники (офисные),33642,33642.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,35,Ежемесячные счета,май 26,Cost article - Ежемесячные счета,17267,17267.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,36,Аренда и коммуналка,май 26,Cost article - Аренда и коммуналка,153000,153000.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,37,Сервисы и их настройка,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,38,Операционная прибыль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,39,Операционная рентабельность,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,40,Прочие доходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,41,Возвраты покупок,май 26,Other income - Purchase returns,769,769.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,42,Проценты по вкладам,май 26,Other income - Deposit interest,2980,2980.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,43,Прочие расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,44,Амортизация,май 26,Cost article - Амортизация,-,0.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,45,Проценты по кредитам и займам,май 26,Cost article - Проценты по кредитам и займам,-,0.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,inserted,46,Налог на прибыль (доходы),май 26,Cost article - Налог на прибыль (доходы),177353,177353.0,
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,47,Чистая прибыль (убыток),май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,48,Рентабельность чистой прибыли,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,49,Дивиденды,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (13).xlsx,b2c_spb,skipped,50,Нераспределенная прибыль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,7,Выручка,май 26,Revenue,175000,175000.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,8,Организация мероприятий (B2B),май 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,9,Переменные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,10,Маркетинг и реклама,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,11,Маркетинг и реклама - SMM,май 26,Marketing costs,14850,14850.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,12,КОМИССИИ БАНКОВ,май 26,Cost article - КОМИССИИ БАНКОВ,5639,5639.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,13,Постоянные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,14,ФОТ - Постоянные,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,15,Управленческий персонал ФОТ,май 26,Cost article - Управленческий персонал ФОТ,108800,108800.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,16,Корпоративы фикс,май 26,Cost article - Корпоративы фикс,50000,50000.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,17,Помещение и офис,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,18,Аренда и коммуналка,май 26,Cost article - Аренда и коммуналка,37428,37428.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,19,Сервисы и их настройка,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,20,Операционная прибыль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,21,Операционная рентабельность,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,22,Прочие доходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,23,Прочие расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,24,Амортизация,май 26,Cost article - Амортизация,-,0.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,25,Проценты по кредитам и займам,май 26,Cost article - Проценты по кредитам и займам,-,0.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,inserted,26,Налог на прибыль (доходы),май 26,Cost article - Налог на прибыль (доходы),-,0.0,
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,27,Чистая прибыль (убыток),май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,28,Рентабельность чистой прибыли,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,29,Дивиденды,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (14).xlsx,b2b,skipped,30,Нераспределенная прибыль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,inserted,7,Выручка,май 26,Revenue,10000,10000.0,
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,8,Франшиза,май 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,9,Роялти,май 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,10,Переменные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,11,Постоянные расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,12,Операционная прибыль,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,13,Операционная рентабельность,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,14,Прочие доходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,15,Прочие расходы,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,inserted,16,Амортизация,май 26,Cost article - Амортизация,-,0.0,
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,inserted,17,Проценты по кредитам и займам,май 26,Cost article - Проценты по кредитам и займам,-,0.0,
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,inserted,18,Налог на прибыль (доходы),май 26,Cost article - Налог на прибыль (доходы),-,0.0,
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,19,Чистая прибыль (убыток),май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,20,Рентабельность чистой прибыли,май 26,,,,calculated_row
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,21,Дивиденды,май 26,,,,subtotal_or_result_row_skipped
Отчет о прибылях и убытках по периоду (15).xlsx,franchise,skipped,22,Нераспределенная прибыль,май 26,,,,subtotal_or_result_row_skipped
