workbook,business_unit,status,source_row_number,source_label,month_label,metric_name,value_raw,value_numeric,reason
Отчет о прибылях и убытках по периоду (5).xlsx,total,inserted,6,Выручка,янв 26,Revenue,13158310,13158310.0,
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,авг 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,сен 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,окт 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,ноя 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,дек 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,янв 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,фев 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,7,Корректировка неучтенного,мар 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,авг 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,сен 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,окт 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,ноя 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,дек 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,янв 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,фев 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,8,Другие продажи,мар 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,9,Франшиза,авг 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,9,Франшиза,сен 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,9,Франшиза,окт 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,9,Франшиза,ноя 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,9,Франшиза,дек 25,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,9,Франшиза,янв 26,,,,revenue_child_row_skipped
Отчет о прибылях и убытках по периоду (5).xlsx,total,skipped,9,Франшиза,фев 26,,,,revenue_child_row_skipped
