unit,scope,status,value,reason
b2c_moscow,general,inserted,173.0,
b2c_moscow,channel:perfomance,inserted,48.0,
b2c_moscow,channel:organic,inserted,27.0,
b2c_moscow,channel:organic,inserted,58.0,
b2c_moscow,channel:perfomance,inserted,10.0,
b2c_moscow,channel:organic,inserted,22.0,
b2c_moscow,channel:referral,inserted,4.0,
b2c_moscow,channel:perfomance,inserted,1.0,
b2c_moscow,channel:social,inserted,2.0,
b2c_moscow,channel:perfomance,inserted,1.0,
b2c_moscow,channel:perfomance:revenue,inserted,643710.00,
b2c_spb,general,inserted,144.0,
b2c_spb,channel:perfomance,inserted,32.0,
b2c_spb,channel:organic,inserted,48.0,
b2c_spb,channel:organic,inserted,15.0,
b2c_spb,channel:referral,inserted,15.0,
b2c_spb,channel:organic,inserted,22.0,
b2c_spb,channel:perfomance,inserted,7.0,
b2c_spb,channel:social,inserted,5.0,
b2c_spb,channel:perfomance:revenue,inserted,433300.00,
