row_number,source_business_unit,source_label,formula_or_input,filled_cell_count,layer,canonical_metric,business_unit,show,channel,agent,merge_rule,mapping_status,mapping_note
5,Москва,Проведено шоу,formula,65,fact,Number of shows,b2c_moscow,general,general,general,sum,mapped,
6,Москва,Гостей,formula,65,fact,Number of show visitors,b2c_moscow,general,general,general,sum,mapped,
7,Москва,Среднее количество гостей,formula,41,calc,Средняя загрузка шоу (по факту дошедшие зрители),b2c_moscow,general,general,general,sum,mapped,
8,Москва,%заполняемости,formula,65,calc,Средняя загрузка шоу (по факту дошедшие зрители),b2c_moscow,general,general,general,sum,mapped,
9,Москва,Проведено шоу оффлайн,input,21,exclude,,b2c_moscow,,,,,excluded,"subcut of show count, not separate canonical metric"
10,Москва,Гостей,input,21,fact,Number of show visitors,b2c_moscow,general,general,general,sum,mapped,
11,Москва,%заполняемости,formula,21,calc,Средняя загрузка шоу (по факту дошедшие зрители),b2c_moscow,general,general,general,sum,mapped,
12,Москва,Проведено шоу онлайн,input,18,exclude,,b2c_moscow,,,,,excluded,"subcut of show count, not separate canonical metric"
13,Москва,Гостей,input,18,fact,Number of show visitors,b2c_moscow,general,general,general,sum,mapped,
14,Москва,%заполняемости,formula,18,calc,Средняя загрузка шоу (по факту дошедшие зрители),b2c_moscow,general,general,general,sum,mapped,
15,Москва,Проведено СД,input,32,fact,Number of shows,b2c_moscow,sd,general,general,sum,mapped,
16,Москва,Гостей,input,32,fact,Number of show visitors,b2c_moscow,general,general,general,sum,mapped,
17,Москва,Среднее количество гостей,formula,32,calc,Средняя загрузка шоу (по факту дошедшие зрители),b2c_moscow,general,general,general,sum,mapped,
18,Москва,%заполняемости,formula,32,calc,Средняя загрузка шоу (по факту дошедшие зрители),b2c_moscow,general,general,general,sum,mapped,
19,Москва,Реализация_шоу,formula,65,fact,Revenue,b2c_moscow,general,general,general,sum,mapped,
20,Москва,Средняя цена одного билета,formula,17,calc,Средняя цена одного билета,b2c_moscow,general,general,general,sum,mapped_from_user_review,
21,Москва,%к выручке,formula,33,calc,% общ. к выручке,b2c_moscow,general,general,general,sum,mapped,
22,Москва,Реализация_СД,formula,32,fact,Revenue,b2c_moscow,sd,general,general,sum,mapped,
23,Москва,Средняя цена одного билета,formula,17,calc,Средняя цена одного билета,b2c_moscow,general,general,general,sum,mapped_from_user_review,
24,Москва,% к выручке,formula,7,calc,% общ. к выручке,b2c_moscow,general,general,general,sum,mapped,
25,B2B,Спецпроекты_корпоративы,formula,37,fact,Revenue,b2b,general,general,general,sum,mapped,
26,B2B,%к выручке,formula,26,calc,% общ. к выручке,b2b,general,general,general,sum,mapped,
27,B2B,Спецпроекты_классический репертуар,formula,6,fact,Revenue,b2b,general,general,general,sum,mapped,
28,B2B,%к выручке,input,2,calc,% общ. к выручке,b2b,general,general,general,sum,mapped,
29,B2B,Спецпроекты_СД,formula,9,fact,Revenue,b2b,sd,general,general,sum,mapped,
30,B2B,% к выручке,input,2,calc,% общ. к выручке,b2b,general,general,general,sum,mapped,
31,B2B,Спецпроекты_онлайн,input,6,fact,Revenue,b2b,online,general,general,sum,mapped,
32,Москва,% к выручке,input,2,calc,% общ. к выручке,b2c_moscow,general,general,general,sum,mapped,
33,Москва,Выручка_сертификаты,formula,59,exclude,,b2c_moscow,,,,,mapped,use only `Выручка_сертификаты с понижающем кэфом` for certificate revenue
34,Москва,Выручка_сертификаты с понижающем кэфом,formula,59,fact,Revenue,b2c_moscow,certificate,general,general,sum,mapped,
35,Москва,% отнесения на выручку,input,59,calc,% отнесения на выручку,b2c_moscow,certificate,general,general,sum,mapped_from_user_review,"Это то, как мы относим проданные сертификаты к выручке здесь и сейчас"
36,Москва,%к выручке,formula,38,calc,% общ. к выручке,b2c_moscow,general,general,general,sum,mapped,
37,Франшиза,Франшиза_паушалка,input,13,fact,Revenue,franchise,general,general,general,sum,mapped,
38,Франшиза,Франшиза_роялти,formula,11,fact,Revenue,franchise,general,general,general,sum,mapped,
39,Франшиза,Франшиза_тотал,formula,12,fact,Revenue,franchise,general,general,general,sum,mapped,
40,Франшиза,Франшиза Китай,input,5,fact,Revenue,franchise,general,general,general,sum,mapped,
41,Франшиза,%к выручке,formula,4,calc,% общ. к выручке,franchise,general,general,general,sum,mapped,
42,Общее,Расчетная выручка периода (по реализации),formula,65,calc,Revenue,general,general,general,general,sum,mapped,derived/diagnostic revenue equivalent
43,Москва,Переменные расходы,input,2,fact,Variable costs,b2c_moscow,general,general,general,sum,mapped,
44,Москва,ЗП актеров по начислению_ классический репертуар,formula,65,fact,Costs - Salary variable,b2c_moscow,general,general,general,sum,mapped,actor payroll belongs to variable salary
45,Москва,% ФОТ в выручке ШОУ,formula,65,calc,% ФОТ в выручке ШОУ,b2c_moscow,general,general,general,sum,mapped_from_user_review,
46,Москва,Зарплаты на 1 шоу,formula,17,fact,Costs - Salary variable,b2c_moscow,,general,general,sum,mapped,
47,Москва,ЗП актеров-Судный день,formula,32,fact,Costs - Salary variable,b2c_moscow,sd,general,general,sum,mapped,show-linked actor payroll belongs to variable salary
48,Москва,% ФОТ в выручке СД,formula,32,exclude,,b2c_moscow,,,,,excluded,это расчетное значение для конкретного show name
49,Москва,Зарплата на 1 СД,formula,17,fact,Costs - Salary variable,b2c_moscow,,general,general,sum,mapped,
50,Москва,Продажи актеров,formula,24,fact,Actor upsell sales,b2c_moscow,general,general,general,sum,mapped_from_user_review,"Давай заведем - это то, что актеры продают после спектаклей"
51,Москва,З/п бонус админа_корпоратив,formula,5,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
52,Москва,З/п бонус админа_корпоратив театр,formula,18,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
53,Москва,З/п бонус Митя_СД,formula,27,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
54,Москва,З/п бонус Иное место Андрея,input,2,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
55,B2B,Спецпроекты_корпоративы_з/п актеров,formula,17,fact,Costs - Salary variable,b2b,general,general,general,sum,mapped,
56,B2B,Спецпроекты_корпоративы_з/п креативная команда,formula,18,fact,Costs - Salary variable,b2b,general,general,general,sum,mapped,
57,Москва,"Иные выплаты актерам, надбавки",formula,26,fact,Costs - Salary variable,b2c_moscow,general,general,general,sum,mapped_from_user_review,"По-моему, есть что-то вроде премий"
