source_business_unit,canonical_business_unit,source_label,mapped_layer,mapped_metric,mapping_type,status,note,upd_layer,upd_metric,upd_note
Москва,b2c_moscow,Проведено шоу,fact,Number of shows,direct,mapped,,,,
Москва,b2c_moscow,Гостей,fact,Number of show visitors,direct,mapped,,,,
Москва,b2c_moscow,Среднее количество гостей,calculated,Средняя загрузка шоу (по факту дошедшие зрители),related_input,mapped,,,,
Москва,b2c_moscow,%заполняемости,calculated,Средняя загрузка шоу (по факту дошедшие зрители),derived_equivalent,mapped,,,,
Москва,b2c_moscow,Проведено шоу оффлайн,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Проведено шоу онлайн,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Проведено СД,calculated,Средняя загрузка СД (по факту дошедшие зрители),related_input,mapped,,,,
Москва,b2c_moscow,Реализация_шоу,fact,Revenue,rollup_revenue,mapped,,,,
Москва,b2c_moscow,Средняя цена одного билета,unmapped,,,review_needed,,,,
Москва,b2c_moscow,%к выручке,calculated,% общ. к выручке,derived_similar,mapped,,,,
Москва,b2c_moscow,Реализация_СД,fact,Revenue,rollup_revenue,mapped,,,,
Москва,b2c_moscow,% к выручке,calculated,% общ. к выручке,derived_similar,mapped,,,,
B2B,b2b,Спецпроекты_корпоративы,fact,Revenue,rollup_revenue,mapped,,,,
B2B,b2b,%к выручке,calculated,% общ. к выручке,derived_similar,mapped,,,,
B2B,b2b,Спецпроекты_классический репертуар,fact,Revenue,rollup_revenue,mapped,,,,
B2B,b2b,Спецпроекты_СД,fact,Revenue,rollup_revenue,mapped,,,,
B2B,b2b,% к выручке,calculated,% общ. к выручке,derived_similar,mapped,,,,
B2B,b2b,Спецпроекты_онлайн,fact,Revenue,rollup_revenue,mapped,,,,
Москва,b2c_moscow,Выручка_сертификаты,fact,Revenue,rollup_revenue,mapped,,,,
Москва,b2c_moscow,Выручка_сертификаты с понижающем кэфом,fact,Revenue,rollup_revenue,mapped,,,,
Москва,b2c_moscow,% отнесения на выручку,unmapped,,,review_needed,,,,
Франшиза,franchise,Франшиза_паушалка,fact,Revenue,rollup_revenue,mapped,,,,
Франшиза,franchise,Франшиза_роялти,fact,Revenue,rollup_revenue,mapped,,,,
Франшиза,franchise,Франшиза_тотал,fact,Revenue,rollup_revenue,mapped,,,,
Франшиза,franchise,Франшиза Китай,fact,Revenue,rollup_revenue,mapped,,,,
Франшиза,franchise,%к выручке,calculated,% общ. к выручке,derived_similar,mapped,,,,
Общее,general,Расчетная выручка периода (по реализации),unmapped,,,review_needed,,,,
Москва,b2c_moscow,Переменные расходы,fact,Costs - Salary variable,approx_rollup,mapped,,,,
Москва,b2c_moscow,ЗП актеров по начислению_ классический репертуар,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Москва,b2c_moscow,% ФОТ в выручке ШОУ,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Зарплаты на 1 шоу,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Москва,b2c_moscow,ЗП актеров-Судный день,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Москва,b2c_moscow,% ФОТ в выручке СД,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Зарплата на 1 СД,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Москва,b2c_moscow,Продажи актеров,unmapped,,,review_needed,,,,
Москва,b2c_moscow,З/п бонус админа_корпоратив,fact,Costs - Salary fixed,approx_salary_rollup,mapped,,,,
Москва,b2c_moscow,З/п бонус админа_корпоратив театр,fact,Costs - Salary fixed,approx_salary_rollup,mapped,,,,
