section,parent_category,category_name,category_path,level,codex_initial_guess,upd_layer,upd_canonical_metric,upd_action,upd_note
Расходы,,Переменные,Переменные,1,"candidate_new_rollup: Variable costs",,,,
Расходы,Переменные,Инвестиции,Переменные > Инвестиции,2,"candidate_new_rollup: Investment costs",,,,
Расходы,Инвестиции,Ремонт в Малом зале,Переменные > Инвестиции > Ремонт в Малом зале,3,"candidate_new_metric: Cost article - Ремонт в Малом зале",,,,
Расходы,Инвестиции,Новый спектакль,Переменные > Инвестиции > Новый спектакль,3,"candidate_new_metric: Cost article - Новый спектакль",,,,
Расходы,Инвестиции,ПЕРЕЕЗД,Переменные > Инвестиции > ПЕРЕЕЗД,3,Relocation costs,,,,
Расходы,ПЕРЕЕЗД,Техника,Переменные > Инвестиции > ПЕРЕЕЗД > Техника,4,Cost article - Техника,,,,
Расходы,ПЕРЕЕЗД,Свет/Мебель/Предметы интерьера,Переменные > Инвестиции > ПЕРЕЕЗД > Свет/Мебель/Предметы интерьера,4,Cost article - Свет/Мебель/Предметы интерьера,,,,
Расходы,ПЕРЕЕЗД,Ремонт/Стройка/Стройматериалы,Переменные > Инвестиции > ПЕРЕЕЗД > Ремонт/Стройка/Стройматериалы,4,Cost article - Ремонт/Стройка/Стройматериалы,,,,
Расходы,Переменные,ФОТ - Переменные,Переменные > ФОТ - Переменные,2,Costs - Salary variable,,,,
Расходы,ФОТ - Переменные,Другое ФОТ,Переменные > ФОТ - Переменные > Другое ФОТ,3,"Cost article - Другое ФОТ, Costs - Salary variable",,,,
Расходы,ФОТ - Переменные,IT ФОТ,Переменные > ФОТ - Переменные > IT ФОТ,3,"Cost article - IT ФОТ, Costs - Salary variable",,,,
Расходы,ФОТ - Переменные,Актёры ФОТ,Переменные > ФОТ - Переменные > Актёры ФОТ,3,"Costs - Salary variable, Cost article - Актёры ФОТ",,,,
Расходы,Переменные,ПРЕМИИ 2025,Переменные > ПРЕМИИ 2025,2,Annual bonuses,,,,
Расходы,ПРЕМИИ 2025,Премии управленч персонал,Переменные > ПРЕМИИ 2025 > Премии управленч персонал,3,"Cost article - Премии управленч персонал, Annual bonuses",,,,
Расходы,ПРЕМИИ 2025,Премии административный персонал,Переменные > ПРЕМИИ 2025 > Премии административный персонал,3,"Cost article - Премии административный персонал, Annual bonuses",,,,
Расходы,ПРЕМИИ 2025,Премии актёры,Переменные > ПРЕМИИ 2025 > Премии актёры,3,"Cost article - Премии актёры, Annual bonuses",,,,
Расходы,Переменные,Корпоративы ЗП проектные,Переменные > Корпоративы ЗП проектные,2,"Cost article - Корпоративы ЗП проектные, Salary costs",,,,
Расходы,Переменные,Страховые взносы,Переменные > Страховые взносы,2,"Cost article - Страховые взносы, Taxes and contributions",,,,
Расходы,Переменные,Комиссия,Переменные > Комиссия,2,Cost article - Комиссия,,,,
Расходы,Переменные,Другое,Переменные > Другое,2,"Cost article - Другое, Other expenses",,,,
Расходы,Переменные,Расходы на B2B (продакшн),Переменные > Расходы на B2B (продакшн),2,"Cost article - Расходы на B2B (продакшн), Show production costs",,,,
Расходы,Переменные,Возвраты,Переменные > Возвраты,2,Returns amount,,,,
Расходы,Переменные,Для спектаклей,Переменные > Для спектаклей,2,Show production costs,,,,
Расходы,Для спектаклей,Тех оснащение,Переменные > Для спектаклей > Тех оснащение,3,"Cost article - Тех оснащение, Show production costs",,,,
Расходы,Для спектаклей,Реквизит/костюмы,Переменные > Для спектаклей > Реквизит/костюмы,3,"Cost article - Реквизит/костюмы, Show production costs",,,,
Расходы,Переменные,Маркетинг и реклама,Переменные > Маркетинг и реклама,2,Marketing costs,,,,
Расходы,Маркетинг и реклама,Маркетинг и реклама - Услуги типографии,Переменные > Маркетинг и реклама > Маркетинг и реклама - Услуги типографии,3,"Cost article - Услуги типографии, Marketing costs",,,,
Расходы,Маркетинг и реклама,Маркетинг и реклама - Общее,Переменные > Маркетинг и реклама > Маркетинг и реклама - Общее,3,Marketing costs,,,,
Расходы,Маркетинг и реклама,Маркетинг и реклама - PR и отзывы,Переменные > Маркетинг и реклама > Маркетинг и реклама - PR и отзывы,3,Marketing costs,,,,
Расходы,Маркетинг и реклама,Маркетинг и реклама - SMM,Переменные > Маркетинг и реклама > Маркетинг и реклама - SMM,3,Marketing costs,,,,
Расходы,Маркетинг и реклама,Маркетинг и реклама - Директ,Переменные > Маркетинг и реклама > Маркетинг и реклама - Директ,3,Marketing costs,,,,
Расходы,Маркетинг и реклама,Маркетинг и реклама - Агентские,Переменные > Маркетинг и реклама > Маркетинг и реклама - Агентские,3,"Cost article - Агентские, Marketing costs",,,,
Расходы,Переменные,Командные,Переменные > Командные,2,"candidate_new_rollup: Team expenses",,,,
Расходы,Командные,Представительские,Переменные > Командные > Представительские,3,"Cost article - Представительские, Other expenses",,,,
Расходы,Переменные,Логистика,Переменные > Логистика,2,Logistics costs,,,,
Расходы,Логистика,Такси,Переменные > Логистика > Такси,3,"Cost article - Такси, Logistics costs",,,,
Расходы,Логистика,Доставка,Переменные > Логистика > Доставка,3,"Cost article - Доставка, Logistics costs",,,,
Расходы,Переменные,Разные налоги и взносы,Переменные > Разные налоги и взносы,2,Taxes and contributions,,,,
Расходы,,Постоянные,Постоянные,1,"candidate_new_rollup: Fixed costs",,,,
Расходы,Постоянные,ФОТ - Постоянные,Постоянные > ФОТ - Постоянные,2,Costs - Salary fixed,,,,
Расходы,ФОТ - Постоянные,Управленческий персонал ФОТ,Постоянные > ФОТ - Постоянные > Управленческий персонал ФОТ,3,"Cost article - Управленческий персонал ФОТ, Costs - Salary fixed",,,,
Расходы,ФОТ - Постоянные,Административный персонал ФОТ,Постоянные > ФОТ - Постоянные > Административный персонал ФОТ,3,"Cost article - Административный персонал ФОТ, Costs - Salary fixed",,,,
Расходы,ФОТ - Постоянные,Корпоративы фикс,Постоянные > ФОТ - Постоянные > Корпоративы фикс,3,"Cost article - Корпоративы фикс, Costs - Salary fixed",,,,
Расходы,Постоянные,Помещение и офис,Постоянные > Помещение и офис,2,Venue and office costs,,,,
