section;parent_category;category_name;category_path;level;codex_initial_guess;business_unit;marketing_channel;upd_layer;upd_canonical_metric;upd_action;upd_note
Расходы;;Переменные;Переменные;1;candidate_new_rollup: Variable costs;;;;candidate_new_rollup: Variable costs;;
Расходы;Переменные;Инвестиции;Переменные > Инвестиции;2;candidate_new_rollup: Investment costs;;;;candidate_new_rollup: Investment costs;;
Расходы;Инвестиции;Ремонт в Малом зале;Переменные > Инвестиции > Ремонт в Малом зале;3;candidate_new_metric: Cost article - Ремонт в Малом зале;;;;candidate_new_metric: Cost article - Ремонт в Малом зале;;
Расходы;Инвестиции;Новый спектакль;Переменные > Инвестиции > Новый спектакль;3;candidate_new_metric: Cost article - Новый спектакль;;;;candidate_new_metric: Cost article - Новый спектакль;;
Расходы;Инвестиции;ПЕРЕЕЗД;Переменные > Инвестиции > ПЕРЕЕЗД;3;Relocation costs;;;;;;
Расходы;ПЕРЕЕЗД;Техника;Переменные > Инвестиции > ПЕРЕЕЗД > Техника;4;Cost article - Техника;;;;Cost article - Relocation costs > Техника;;
Расходы;ПЕРЕЕЗД;Свет/Мебель/Предметы интерьера;Переменные > Инвестиции > ПЕРЕЕЗД > Свет/Мебель/Предметы интерьера;4;Cost article - Свет/Мебель/Предметы интерьера;;;;Cost article - Relocation costs > Свет/Мебель/Предметы интерьера;;
Расходы;ПЕРЕЕЗД;Ремонт/Стройка/Стройматериалы;Переменные > Инвестиции > ПЕРЕЕЗД > Ремонт/Стройка/Стройматериалы;4;Cost article - Ремонт/Стройка/Стройматериалы;;;;Cost article - Relocation costs > Ремонт/Стройка/Стройматериалы;;
Расходы;Переменные;ФОТ - Переменные;Переменные > ФОТ - Переменные;2;Costs - Salary variable;;;;Costs - Salary variable - Roll-up for lower categories;;
Расходы;ФОТ - Переменные;Другое ФОТ;Переменные > ФОТ - Переменные > Другое ФОТ;3;Cost article - Другое ФОТ, Costs - Salary variable;general;;;Cost article - Другое ФОТ;;
