rollup_metric,cost_article_metric,mapping_strength,upd_rollup_metric,upd_cost_article_metric,upd_status,upd_note
Salary costs,Cost article - IT ФОТ,working_guess,,,, 
Salary costs,Cost article - Административный персонал ФОТ,working_guess,,,, 
Salary costs,Cost article - Актёры ФОТ,working_guess,,,, 
Salary costs,Cost article - Другое ФОТ,working_guess,,,, 
Salary costs,Cost article - Управленческий персонал ФОТ,working_guess,,,, 
Salary costs,Cost article - Корпоративы ЗП проектные,working_guess,,,, 
Salary costs,Cost article - Премии административный персонал,working_guess,,,, 
Salary costs,Cost article - Премии актёры,working_guess,,,, 
Salary costs,Cost article - Премии управленч персонал,working_guess,,,, 
Costs - Salary fixed,Cost article - IT ФОТ,working_guess,,,, 
Costs - Salary fixed,Cost article - Административный персонал ФОТ,working_guess,,,, 
Costs - Salary fixed,Cost article - Другое ФОТ,working_guess,,,, 
Costs - Salary fixed,Cost article - Управленческий персонал ФОТ,working_guess,,,, 
Costs - Salary fixed,Cost article - Корпоративы ЗП проектные,working_guess,,,, 
Costs - Salary fixed,Cost article - Премии административный персонал,working_guess,,,, 
Costs - Salary fixed,Cost article - Премии управленч персонал,working_guess,,,, 
Costs - Salary variable,Cost article - Актёры ФОТ,working_guess,,,, 
Costs - Salary variable,Cost article - Премии актёры,working_guess,,,, 
Show production costs,Cost article - Расходы на B2B (продакшн),working_guess,,,, 
Show production costs,Cost article - Реквизит/костюмы,working_guess,,,, 
Show production costs,Cost article - Тех оснащение,working_guess,,,, 
Show production costs,Cost article - Техника,working_guess,,,, 
Show production costs,Cost article - Свет/Мебель/Предметы интерьера,working_guess,,,, 
Show production costs,Cost article - Ремонт/Стройка/Стройматериалы,working_guess,,,, 
Venue and office costs,Cost article - Аренда и коммуналка,working_guess,,,, 
Venue and office costs,Cost article - Уборка,working_guess,,,, 
Venue and office costs,Cost article - Мебель и предметы интерьера,working_guess,,,, 
Venue and office costs,Cost article - Ремонт и обслуживание,working_guess,,,, 
Venue and office costs,Cost article - Расходники (офисные),working_guess,,,, 
Venue and office costs,Cost article - Ежемесячные счета,working_guess,,,, 
Services and setup costs,Cost article - Комиссия,working_guess,,,, 
Services and setup costs,Cost article - КОМИССИИ БАНКОВ,working_guess,,,, 
Services and setup costs,Cost article - Отсмотр видео,working_guess,,,, 
Logistics costs,Cost article - Доставка,working_guess,,,, 
Logistics costs,Cost article - Такси,working_guess,,,, 
Logistics costs,Cost article - Транспорт,working_guess,,,, 
Logistics costs,Cost article - Командировочные,working_guess,,,, 
Logistics costs,Cost article - Проживание,working_guess,,,, 
Taxes and contributions,Cost article - Налог на прибыль (доходы),working_guess,,,, 
Taxes and contributions,Cost article - Страховые взносы,working_guess,,,, 
Other expenses,Cost article - Другое,working_guess,,,, 
Other expenses,Cost article - Нераспределенный расход,working_guess,,,, 
Other expenses,Cost article - Представительские,working_guess,,,, 
Other expenses,Cost article - Курсовая разница (-),working_guess,,,, 
Other expenses,Cost article - Агентские,working_guess,,,, 
Other expenses,Cost article - Услуги типографии,working_guess,,,, 
Other expenses,Cost article - Амортизация,working_guess,,,, 
Other expenses,Cost article - Проценты по кредитам и займам,working_guess,,,, 
Relocation costs,Cost article - Другое,weak_guess,,,, 
Annual bonuses,Cost article - Премии административный персонал,weak_guess,,,, 
Annual bonuses,Cost article - Премии актёры,weak_guess,,,, 
Annual bonuses,Cost article - Премии управленч персонал,weak_guess,,,, 
