calculated_metric_key,calculated_metric_name,period_granularity,business_unit,dependency_role,dependency_metric_key,dependency_granularity,status,notes
operating_profit_margin,Операционная рентабельность,month,b2b,numerator,operating_profit,month,active,Monthly numerator from PlanFact operating profit.
operating_profit_margin,Операционная рентабельность,month,b2b,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
operating_profit_margin,Операционная рентабельность,month,b2c_moscow,numerator,operating_profit,month,active,Monthly numerator from PlanFact operating profit.
operating_profit_margin,Операционная рентабельность,month,b2c_moscow,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
operating_profit_margin,Операционная рентабельность,month,b2c_spb,numerator,operating_profit,month,active,Monthly numerator from PlanFact operating profit.
operating_profit_margin,Операционная рентабельность,month,b2c_spb,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
operating_profit_margin,Операционная рентабельность,month,franchise,numerator,operating_profit,month,active,Monthly numerator from PlanFact operating profit.
operating_profit_margin,Операционная рентабельность,month,franchise,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
operating_profit_margin,Операционная рентабельность,month,general,numerator,operating_profit,month,active,Monthly numerator from PlanFact operating profit.
operating_profit_margin,Операционная рентабельность,month,general,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebitda_margin,Рентабельность по EBITDA,month,b2b,numerator,ebitda,month,active,Monthly numerator from PlanFact EBITDA.
ebitda_margin,Рентабельность по EBITDA,month,b2b,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebitda_margin,Рентабельность по EBITDA,month,b2c_moscow,numerator,ebitda,month,active,Monthly numerator from PlanFact EBITDA.
ebitda_margin,Рентабельность по EBITDA,month,b2c_moscow,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebitda_margin,Рентабельность по EBITDA,month,b2c_spb,numerator,ebitda,month,active,Monthly numerator from PlanFact EBITDA.
ebitda_margin,Рентабельность по EBITDA,month,b2c_spb,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebitda_margin,Рентабельность по EBITDA,month,franchise,numerator,ebitda,month,active,Monthly numerator from PlanFact EBITDA.
ebitda_margin,Рентабельность по EBITDA,month,franchise,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebitda_margin,Рентабельность по EBITDA,month,general,numerator,ebitda,month,active,Monthly numerator from PlanFact EBITDA.
ebitda_margin,Рентабельность по EBITDA,month,general,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebit_margin,Рентабельность по EBIT,month,b2b,numerator,ebit,month,active,Monthly numerator from PlanFact EBIT.
ebit_margin,Рентабельность по EBIT,month,b2b,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebit_margin,Рентабельность по EBIT,month,b2c_moscow,numerator,ebit,month,active,Monthly numerator from PlanFact EBIT.
ebit_margin,Рентабельность по EBIT,month,b2c_moscow,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebit_margin,Рентабельность по EBIT,month,b2c_spb,numerator,ebit,month,active,Monthly numerator from PlanFact EBIT.
ebit_margin,Рентабельность по EBIT,month,b2c_spb,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebit_margin,Рентабельность по EBIT,month,franchise,numerator,ebit,month,active,Monthly numerator from PlanFact EBIT.
ebit_margin,Рентабельность по EBIT,month,franchise,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebit_margin,Рентабельность по EBIT,month,general,numerator,ebit,month,active,Monthly numerator from PlanFact EBIT.
ebit_margin,Рентабельность по EBIT,month,general,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebt_margin,Рентабельность по EBT,month,b2b,numerator,ebt,month,active,Monthly numerator from PlanFact EBT.
ebt_margin,Рентабельность по EBT,month,b2b,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebt_margin,Рентабельность по EBT,month,b2c_moscow,numerator,ebt,month,active,Monthly numerator from PlanFact EBT.
ebt_margin,Рентабельность по EBT,month,b2c_moscow,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebt_margin,Рентабельность по EBT,month,b2c_spb,numerator,ebt,month,active,Monthly numerator from PlanFact EBT.
ebt_margin,Рентабельность по EBT,month,b2c_spb,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebt_margin,Рентабельность по EBT,month,franchise,numerator,ebt,month,active,Monthly numerator from PlanFact EBT.
ebt_margin,Рентабельность по EBT,month,franchise,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
ebt_margin,Рентабельность по EBT,month,general,numerator,ebt,month,active,Monthly numerator from PlanFact EBT.
ebt_margin,Рентабельность по EBT,month,general,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
net_profit_margin,Рентабельность чистой прибыли,month,b2b,numerator,net_profit,month,active,Monthly numerator from PlanFact net profit.
net_profit_margin,Рентабельность чистой прибыли,month,b2b,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
net_profit_margin,Рентабельность чистой прибыли,month,b2c_moscow,numerator,net_profit,month,active,Monthly numerator from PlanFact net profit.
net_profit_margin,Рентабельность чистой прибыли,month,b2c_moscow,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
net_profit_margin,Рентабельность чистой прибыли,month,b2c_spb,numerator,net_profit,month,active,Monthly numerator from PlanFact net profit.
net_profit_margin,Рентабельность чистой прибыли,month,b2c_spb,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
net_profit_margin,Рентабельность чистой прибыли,month,franchise,numerator,net_profit,month,active,Monthly numerator from PlanFact net profit.
net_profit_margin,Рентабельность чистой прибыли,month,franchise,denominator,revenue,month,active,Monthly denominator from PlanFact revenue.
net_profit_margin,Рентабельность чистой прибыли,month,general,numerator,net_profit,month,active,Monthly numerator from PlanFact net profit.
