unit,metric_name,scope,status,value,reason
b2c_moscow,Number of tickets,general,inserted,857,
b2c_moscow,Number of orders,general,inserted,398,
b2c_moscow,Revenue,general,inserted,4071695,
b2c_moscow,Website orders,general,inserted,275,
b2c_moscow,show_join,,skipped,40,missing_show_join
b2c_moscow,Number of tickets,show:Ответ Гиппократа,inserted,270,
b2c_moscow,Number of orders,show:Ответ Гиппократа,inserted,116,
b2c_moscow,Revenue,show:Ответ Гиппократа,inserted,1202510,
b2c_moscow,Number of tickets,show:Судный день,inserted,158,
b2c_moscow,Number of orders,show:Судный день,inserted,79,
b2c_moscow,Revenue,show:Судный день,inserted,819850,
b2c_moscow,Number of tickets,show:22'07,inserted,94,
b2c_moscow,Number of orders,show:22'07,inserted,40,
b2c_moscow,Revenue,show:22'07,inserted,409025,
b2c_moscow,Number of tickets,show:Иное место,inserted,27,
b2c_moscow,Number of orders,show:Иное место,inserted,10,
b2c_moscow,Revenue,show:Иное место,inserted,124200,
b2c_moscow,Number of tickets,show:До свадьбы доживёт,inserted,154,
b2c_moscow,Number of orders,show:До свадьбы доживёт,inserted,66,
b2c_moscow,Revenue,show:До свадьбы доживёт,inserted,682620,
b2c_moscow,Number of tickets,show:Загадка Амулета,inserted,20,
b2c_moscow,Number of orders,show:Загадка Амулета,inserted,8,
b2c_moscow,Revenue,show:Загадка Амулета,inserted,80000,
b2c_moscow,Number of tickets,show:ВДОХ,inserted,37,
b2c_moscow,Number of orders,show:ВДОХ,inserted,18,
b2c_moscow,Revenue,show:ВДОХ,inserted,160000,
b2c_moscow,Number of tickets,"show:Поезд, Чехов, два орла",inserted,57,
b2c_moscow,Number of orders,"show:Поезд, Чехов, два орла",inserted,21,
b2c_moscow,Revenue,"show:Поезд, Чехов, два орла",inserted,245040,
b2c_moscow,Number of tickets,partner:кассир,inserted,52,
b2c_moscow,Number of orders,partner:кассир,inserted,21,
b2c_moscow,Revenue,partner:кассир,inserted,250000,
