unit,metric_name,scope,status,value,reason
b2c_moscow,Number of tickets,general,inserted,146,
b2c_moscow,Number of orders,general,inserted,78,
b2c_moscow,Revenue,general,inserted,711150,
b2c_moscow,Website orders,general,inserted,56,
b2c_moscow,show_join,,skipped,10,missing_show_join
b2c_moscow,Number of tickets,show:Судный день,inserted,25,
b2c_moscow,Number of orders,show:Судный день,inserted,15,
b2c_moscow,Revenue,show:Судный день,inserted,137500,
b2c_moscow,Number of tickets,show:Загадка Амулета,inserted,8,
b2c_moscow,Number of orders,show:Загадка Амулета,inserted,2,
b2c_moscow,Revenue,show:Загадка Амулета,inserted,32000,
b2c_moscow,Number of tickets,show:Ответ Гиппократа,inserted,42,
b2c_moscow,Number of orders,show:Ответ Гиппократа,inserted,22,
b2c_moscow,Revenue,show:Ответ Гиппократа,inserted,187670,
b2c_moscow,Number of tickets,show:До свадьбы доживёт,inserted,30,
b2c_moscow,Number of orders,show:До свадьбы доживёт,inserted,14,
b2c_moscow,Revenue,show:До свадьбы доживёт,inserted,132100,
b2c_moscow,Number of tickets,show:ВДОХ,inserted,5,
b2c_moscow,Number of orders,show:ВДОХ,inserted,3,
b2c_moscow,Revenue,show:ВДОХ,inserted,23000,
b2c_moscow,Number of tickets,show:22'07,inserted,16,
b2c_moscow,Number of orders,show:22'07,inserted,8,
b2c_moscow,Revenue,show:22'07,inserted,72530,
b2c_moscow,Number of tickets,"show:Поезд, Чехов, два орла",inserted,6,
b2c_moscow,Number of orders,"show:Поезд, Чехов, два орла",inserted,3,
b2c_moscow,Revenue,"show:Поезд, Чехов, два орла",inserted,27600,
b2c_moscow,Number of tickets,show:Иное место,inserted,4,
b2c_moscow,Number of orders,show:Иное место,inserted,1,
b2c_moscow,Revenue,show:Иное место,inserted,18400,
b2c_moscow,Number of tickets,partner:афиша.ру,inserted,16,
b2c_moscow,Number of orders,partner:афиша.ру,inserted,9,
b2c_moscow,Revenue,partner:афиша.ру,inserted,78700,
b2c_moscow,Number of tickets,partner:яндекс.афиша,inserted,18,
b2c_moscow,Number of orders,partner:яндекс.афиша,inserted,9,
b2c_moscow,Revenue,partner:яндекс.афиша,inserted,84630,
b2c_moscow,Number of tickets,partner:кассир,inserted,11,
b2c_moscow,Number of orders,partner:кассир,inserted,4,
b2c_moscow,Revenue,partner:кассир,inserted,50300,
b2c_moscow,Number of tickets,show:Судный день|partner:афиша.ру,inserted,5,
b2c_moscow,Number of orders,show:Судный день|partner:афиша.ру,inserted,3,
b2c_moscow,Revenue,show:Судный день|partner:афиша.ру,inserted,27500,
b2c_moscow,Number of tickets,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,8,
b2c_moscow,Number of orders,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,3,
b2c_moscow,Revenue,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,33200,
b2c_moscow,Number of tickets,show:ВДОХ|partner:афиша.ру,inserted,2,
b2c_moscow,Number of orders,show:ВДОХ|partner:афиша.ру,inserted,1,
b2c_moscow,Revenue,show:ВДОХ|partner:афиша.ру,inserted,9200,
b2c_moscow,Number of tickets,show:22'07|partner:афиша.ру,inserted,2,
b2c_moscow,Number of orders,show:22'07|partner:афиша.ру,inserted,1,
b2c_moscow,Revenue,show:22'07|partner:афиша.ру,inserted,9200,
b2c_moscow,Number of tickets,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,1,
b2c_moscow,Number of orders,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,1,
b2c_moscow,Revenue,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,4600,
b2c_moscow,Number of tickets,show:До свадьбы доживёт|partner:афиша.ру,inserted,4,
b2c_moscow,Number of orders,show:До свадьбы доживёт|partner:афиша.ру,inserted,2,
b2c_moscow,Revenue,show:До свадьбы доживёт|partner:афиша.ру,inserted,19000,
b2c_moscow,Number of tickets,show:22'07|partner:яндекс.афиша,inserted,2,
b2c_moscow,Number of orders,show:22'07|partner:яндекс.афиша,inserted,1,
b2c_moscow,Revenue,show:22'07|partner:яндекс.афиша,inserted,8330,
b2c_moscow,Number of tickets,show:Ответ Гиппократа|partner:афиша.ру,inserted,1,
b2c_moscow,Number of orders,show:Ответ Гиппократа|partner:афиша.ру,inserted,1,
b2c_moscow,Revenue,show:Ответ Гиппократа|partner:афиша.ру,inserted,4600,
b2c_moscow,Number of tickets,show:Судный день|partner:яндекс.афиша,inserted,7,
b2c_moscow,Number of orders,show:Судный день|partner:яндекс.афиша,inserted,4,
b2c_moscow,Revenue,show:Судный день|partner:яндекс.афиша,inserted,38500,
b2c_moscow,Number of tickets,show:Судный день|partner:кассир,inserted,3,
b2c_moscow,Number of orders,show:Судный день|partner:кассир,inserted,2,
b2c_moscow,Revenue,show:Судный день|partner:кассир,inserted,16500,
