source_business_unit,canonical_business_unit,source_label,mapped_layer,mapped_metric,mapping_type,status,note,upd_layer,upd_metric,upd_note
Москва,b2c_moscow,Проведено шоу оффлайн,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Проведено шоу онлайн,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Средняя цена одного билета,unmapped,,,review_needed,,,,
Москва,b2c_moscow,% отнесения на выручку,unmapped,,,review_needed,,,,
Общее,general,Расчетная выручка периода (по реализации),unmapped,,,review_needed,,,,
Москва,b2c_moscow,% ФОТ в выручке ШОУ,unmapped,,,review_needed,,,,
Москва,b2c_moscow,% ФОТ в выручке СД,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Продажи актеров,unmapped,,,review_needed,,,,
Москва,b2c_moscow,"Иные выплаты актерам, надбавки",unmapped,,,review_needed,,,,
B2B,b2b,Другие затраты_Спецпроекты СД,unmapped,,,review_needed,,,,
Франшиза,franchise,Затраты франшиза Китай,unmapped,,,review_needed,,,,
Франшиза,franchise,Затраты на реквизит для партнеров франшиза,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Банковское обслуживание,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Налог6%,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Налог страховые взносы,unmapped,,,review_needed,,,,
Общее,general,Итого переменные расходы,unmapped,,,review_needed,,,,
Общее,general,Маржинальный доход,unmapped,,,review_needed,,,,
Общее,general,% переменных расходов к выручке,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Рилс-мэйкинг,unmapped,,,review_needed,,,,
Франшиза,franchise,Продвижение франшизы,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Прочие расходы на рекламу,unmapped,,,review_needed,,,,
Общее,general,Итого расходы на маркетинг,unmapped,,,review_needed,,,,
Общее,general,% к марже,unmapped,,,review_needed,,,,
Общее,general,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Электроэнергия,unmapped,,,review_needed,,,,
Общее,general,Разработка и IT,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Подарки,unmapped,,,review_needed,,,,
Общее,general,Итого постоянные расходы,unmapped,,,review_needed,,,,
Общее,general,%постоянных расходов к выручке,unmapped,,,review_needed,,,,
Общее,general,"Прибыль до выплаты акционерам,развития и % директора",unmapped,,,review_needed,,,,
Общее,general,12% прибыли,unmapped,,,review_needed,,,,
Общее,general,5 % прибыли,unmapped,,,review_needed,,,,
Общее,general,10 % прибыли,unmapped,,,review_needed,,,,
Общее,general,% от выручки,unmapped,,,review_needed,,,,
Москва,b2c_moscow,"Доработка софта, озвучка и пр",unmapped,,,review_needed,,,,
Москва,b2c_moscow,Обучение,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Сценарии,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Реклама,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Европейская франшиза,unmapped,,,review_needed,looks like franchise revenue but row sits in Moscow section,,,
Москва,b2c_moscow,"Итого, расходы инвестиции Москва",unmapped,,,review_needed,,,,
Москва,b2c_moscow,% инвестиций от выручки,unmapped,,,review_needed,,,,
Спб,b2c_spb,Инвестии в Петербург,unmapped,,,review_needed,,,,
Спб,b2c_spb,% отнесения на выручку,unmapped,,,review_needed,,,,
Спб,b2c_spb,Расчетная выручка периода (по реализации),unmapped,,,review_needed,,,,
Спб,b2c_spb,% ФОТ в выручке ШОУ,unmapped,,,review_needed,,,,
Спб,b2c_spb,% ФОТ в выручке CД,unmapped,,,review_needed,,,,
Спб,b2c_spb,Митя_Бонус СД,unmapped,,,review_needed,,,,
Спб,b2c_spb,Налог6%,unmapped,,,review_needed,,,,
Спб,b2c_spb,Налог страховые взносы,unmapped,,,review_needed,,,,
Спб,b2c_spb,Логистика (командировки Москвы в Питер),unmapped,,,review_needed,,,,
Спб,b2c_spb,Общие расходы спецпроекты_корпоративы,unmapped,,,review_needed,,,,
Спб,b2c_spb,Итого переменные расходы,unmapped,,,review_needed,,,,
Спб,b2c_spb,Маржинальный доход,unmapped,,,review_needed,,,,
Спб,b2c_spb,% переменных расходов к выручке,unmapped,,,review_needed,,,,
Спб,b2c_spb,Прочие расходы на рекламу,unmapped,,,review_needed,,,,
Спб,b2c_spb,Итого расходы на маркетинг,unmapped,,,review_needed,,,,
Спб,b2c_spb,% к марже,unmapped,,,review_needed,,,,
Спб,b2c_spb,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,unmapped,,,review_needed,,,,
Спб,b2c_spb,Разработка и IT,unmapped,,,review_needed,,,,
Спб,b2c_spb,Подарки,unmapped,,,review_needed,,,,
Спб,b2c_spb,Итого постоянные расходы,unmapped,,,review_needed,,,,
Спб,b2c_spb,%постоянных расходов к выручке,unmapped,,,review_needed,,,,
Спб,b2c_spb,"Прибыль до выплаты акционерам,развития и % директора",unmapped,,,review_needed,,,,
Общее,general,Общая прибыль,unmapped,,,review_needed,,,,
Общее,general,Директорский процент,unmapped,,,review_needed,,,,
