workbook,business_unit,source_row_number,source_label,classification,target_metric_name,months_present,note
Отчет о прибылях и убытках по периоду (5).xlsx,total,6,Выручка,fact,Revenue,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,7,Корректировка неучтенного,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,8,Другие продажи,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,9,Франшиза,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,10,Паушалка,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,11,Роялти,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,12,Продажа билетов B2C,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,13,Организация мероприятий (B2B),excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,14,Нераспределенный доход,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (5).xlsx,total,15,Переменные расходы,fact,Variable costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,16,Инвестиции,fact,Investment costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,17,ПЕРЕЕЗД,fact,Relocation costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,18,Техника,fact,Cost article - Техника,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,19,Свет/Мебель/Предметы интерьера,fact,Cost article - Свет/Мебель/Предметы интерьера,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,20,Ремонт/Стройка/Стройматериалы,fact,Cost article - Ремонт/Стройка/Стройматериалы,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,21,ФОТ - Переменные,fact,Costs - Salary variable,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,22,Другое ФОТ,fact,Cost article - Другое ФОТ,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,23,IT ФОТ,fact,Cost article - IT ФОТ,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,24,Актёры ФОТ,fact,Costs - Salary variable,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,25,ПРЕМИИ 2025,fact,Annual bonuses,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,26,Премии управленч персонал,fact,Cost article - Премии управленч персонал,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,27,Премии административный персонал,fact,Cost article - Премии административный персонал,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,28,Премии актёры,fact,Cost article - Премии актёры,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,29,Корпоративы ЗП проектные,fact,Costs - Salary variable,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,30,Другое,fact,Cost article - Другое,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,31,Расходы на B2B (продакшн),fact,Show production costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,32,Возвраты,fact,Returns amount,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,33,Для спектаклей,fact,Show production costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,34,Тех оснащение,fact,Cost article - Тех оснащение,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,35,Реквизит/костюмы,fact,Cost article - Реквизит/костюмы,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,36,Маркетинг и реклама,fact,Marketing costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,37,Маркетинг и реклама - Услуги типографии,fact,Marketing costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,38,Маркетинг и реклама - Агентские,fact,Marketing costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,39,Логистика,fact,Variable logistics costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,40,Такси,fact,Cost article - Такси,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,41,Доставка,fact,Cost article - Доставка,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,42,Разные налоги и взносы,fact,Cost article - Разные налоги и взносы,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,43,Постоянные расходы,fact,Fixed costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,44,ФОТ - Постоянные,fact,Costs - Salary fixed,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,45,Управленческий персонал ФОТ,fact,Cost article - Управленческий персонал ФОТ,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,46,Административный персонал ФОТ,fact,Cost article - Административный персонал ФОТ,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,47,Корпоративы фикс,fact,Cost article - Корпоративы фикс,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,48,Помещение и офис,fact,Venue and office costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,49,Уборка,fact,Cost article - Уборка,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,50,Мебель и предметы интерьера,fact,Cost article - Мебель и предметы интерьера,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,51,Ремонт и обслуживание,fact,Cost article - Ремонт и обслуживание,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,52,Расходники (офисные),fact,Cost article - Расходники (офисные),8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,53,Ежемесячные счета,fact,Cost article - Ежемесячные счета,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (5).xlsx,total,54,Аренда и коммуналка,fact,Cost article - Аренда и коммуналка,8,Observed monthly P&L row; import into fact_metric_observation.
