unit,scope,status,value,reason
b2c_moscow,general,inserted,56.0,
b2c_moscow,channel:perfomance,inserted,15.0,
b2c_moscow,channel:organic,inserted,7.0,
b2c_moscow,channel:organic,inserted,18.0,
b2c_moscow,channel:perfomance,inserted,4.0,
b2c_moscow,channel:organic,inserted,7.0,
b2c_moscow,channel:referral,inserted,1.0,
b2c_moscow,channel:perfomance,inserted,1.0,
b2c_moscow,channel:social,inserted,2.0,
b2c_moscow,channel:perfomance,inserted,1.0,
b2c_moscow,channel:perfomance:revenue,inserted,174190.00,
b2c_spb,general,inserted,31.0,
b2c_spb,channel:perfomance,inserted,9.0,
b2c_spb,channel:organic,inserted,10.0,
b2c_spb,channel:organic,inserted,5.0,
b2c_spb,channel:referral,inserted,1.0,
b2c_spb,channel:organic,inserted,2.0,
b2c_spb,channel:perfomance,inserted,2.0,
b2c_spb,channel:social,inserted,2.0,
b2c_spb,channel:perfomance:revenue,inserted,83000.00,
