status,period_start,source_row_number,source_business_unit,source_label,canonical_metric,business_unit,show,channel,agent,cell_a1,value_raw,value_numeric,reason
aggregated,2020-01-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,C19,1 878 300,1878300,
aggregated,2020-02-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,D19,1 612 100,1612100,
aggregated,2020-03-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,E19,1 018 700,1018700,
aggregated,2020-04-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,F19,271 730,271730,
aggregated,2020-05-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,G19,296 105,296105,
aggregated,2020-06-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,H19,200 096,200096,
aggregated,2020-07-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,I19,484 692,484692,
aggregated,2020-08-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,J19,529 859,529859,
aggregated,2020-09-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,K19,714 880,714880,
aggregated,2020-10-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,L19,829 258,829258,
aggregated,2020-11-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,M19,653 482,653482,
aggregated,2020-12-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,N19,924 687,924687,
aggregated,2021-01-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,O19,866 084,866084,
aggregated,2021-02-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,P19,1 102 833,1102833,
aggregated,2021-03-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,Q19,1 486 330,1486330,
aggregated,2021-04-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,R19,985 110,985110,
aggregated,2021-05-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,S19,1 001 832,1001832,
aggregated,2021-06-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,T19,677 252,677252,
aggregated,2021-07-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,U19,700 485,700485,
aggregated,2021-08-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,V19,1 252 500,1252500,
aggregated,2021-09-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,W19,1 154 690,1154690,
aggregated,2021-10-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,X19,1 357 192,1357192,
aggregated,2021-11-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,Y19,1 115 523,1115523,
aggregated,2021-12-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,Z19,1 323 910,1323910,
aggregated,2022-01-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AA19,1 853 459,1853459,
aggregated,2022-02-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AB19,2 004 782,2004782,
aggregated,2022-03-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AC19,1 649 245,1649245,
aggregated,2022-04-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AD19,1 534 678,1534678,
aggregated,2022-05-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AE19,1 398 727,1398727,
aggregated,2022-06-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AF19,1 499 887,1499887,
aggregated,2022-07-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AG19,1 580 422,1580422,
aggregated,2022-08-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AH19,1 593 330,1593330,
aggregated,2022-09-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AI19,1 620 780,1620780,
aggregated,2022-10-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AJ19,1 499 660,1499660,
aggregated,2022-11-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AK19,1 762 210,1762210,
aggregated,2022-12-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AL19,1 789 200,1789200,
aggregated,2023-01-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AM19,2 260 012,2260012,
aggregated,2023-02-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AN19,2 145 130,2145130,
aggregated,2023-03-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AO19,2 570 456,2570456,
aggregated,2023-04-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AP19,1 686 047,1686047,
aggregated,2023-05-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AQ19,1 586 335,1586335,
aggregated,2023-06-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AR19,1 515 873,1515873,
aggregated,2023-07-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AS19,1 865 975,1865975,
aggregated,2023-08-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AT19,1 945 772,1945772,
aggregated,2023-09-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AU19,2 115 573,2115573,
aggregated,2023-10-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AV19,2 421 170,2421170,
aggregated,2023-11-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AW19,2 826 725,2826725,
aggregated,2023-12-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AX19,2 798 563,2798563,
aggregated,2024-01-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AY19,3 716 825,3716825,
aggregated,2024-02-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,AZ19,3 987 569,3987569,
aggregated,2024-03-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BA19,3 257 652,3257652,
aggregated,2024-04-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BB19,2 549 570,2549570,
aggregated,2024-05-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BC19,2 406 833,2406833,
aggregated,2024-06-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BD19,2 951 243,2951243,
aggregated,2024-07-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BE19,3 334 519,3334519,
aggregated,2024-08-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BF19,3 640 002,3640002,
aggregated,2024-09-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BG19,2 947 993,2947993,
aggregated,2024-10-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BH19,3 679 324,3679324,
aggregated,2024-11-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BI19,3 765 941,3765941,
aggregated,2024-12-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BJ19,3 471 340,3471340,
aggregated,2025-01-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BK19,4 176 507,4176507,
