status,business_unit,period_start,canonical_metric,value_numeric,reason,source_metrics
skipped,b2b,2020-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-02-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-03-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-04-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-05-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-08-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-09-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-10-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-11-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-12-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-02-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-03-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-04-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-05-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-08-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-09-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-10-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-11-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-12-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-02-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-03-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-04-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-05-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-08-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-09-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-10-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-11-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-12-01,Variable costs,,no_descendant_values,
skipped,b2b,2023-01-01,Variable costs,,no_descendant_values,
inserted,b2b,2023-02-01,Variable costs,14550,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-03-01,Variable costs,73100,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-04-01,Variable costs,510039,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2023-05-01,Variable costs,0,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-06-01,Variable costs,17900,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-07-01,Variable costs,10700,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-08-01,Variable costs,15900,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-09-01,Variable costs,201000,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-10-01,Variable costs,837300,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2023-11-01,Variable costs,440000,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2023-12-01,Variable costs,553000,backfilled_from_descendants,Costs - Salary variable; Show production costs
skipped,b2b,2024-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2024-02-01,Variable costs,,no_descendant_values,
inserted,b2b,2024-03-01,Variable costs,140000,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2024-04-01,Variable costs,30920,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2024-05-01,Variable costs,355000,backfilled_from_descendants,Costs - Salary variable; Show production costs
skipped,b2b,2024-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2024-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2024-08-01,Variable costs,,no_descendant_values,
inserted,b2b,2024-09-01,Variable costs,176649,backfilled_from_descendants,Costs - Salary variable
skipped,b2b,2024-10-01,Variable costs,,no_descendant_values,
inserted,b2b,2024-11-01,Variable costs,1028600,backfilled_from_descendants,Costs - Salary variable; Show production costs
