status,period_start,source_row_number,source_business_unit,source_label,canonical_metric,business_unit,show,channel,agent,cell_a1,value_raw,value_numeric,reason
unmapped_row,,5,Москва,Проведено шоу,,,,,,,,,no_mapping_found
unmapped_row,,6,Москва,Гостей,,,,,,,,,no_mapping_found
unmapped_row,,9,Москва,Проведено шоу оффлайн,,,,,,,,,no_mapping_found
unmapped_row,,10,Москва,Гостей,,,,,,,,,no_mapping_found
unmapped_row,,12,Москва,Проведено шоу онлайн,,,,,,,,,no_mapping_found
unmapped_row,,13,Москва,Гостей,,,,,,,,,no_mapping_found
unmapped_row,,15,Москва,Проведено СД,,,,,,,,,no_mapping_found
unmapped_row,,16,Москва,Гостей,,,,,,,,,no_mapping_found
unmapped_row,,20,Москва,Средняя цена одного билета,,,,,,,,,no_mapping_found
unmapped_row,,21,Москва,%к выручке,,,,,,,,,no_mapping_found
unmapped_row,,23,Москва,Средняя цена одного билета,,,,,,,,,no_mapping_found
unmapped_row,,26,Москва,%к выручке,,,,,,,,,no_mapping_found
unmapped_row,,28,Москва,%к выручке,,,,,,,,,no_mapping_found
unmapped_row,,36,Москва,%к выручке,,,,,,,,,no_mapping_found
unmapped_row,,42,Москва,%к выручке,,,,,,,,,no_mapping_found
unmapped_row,,49,Москва,% ФОТ в выручке СД,,,,,,,,,no_mapping_found
unmapped_row,,81,Москва,процент возвратов от выручки,,,,,,,,,no_mapping_found
unmapped_row,,146,Москва,% инвестиций от выручки,,,,,,,,,no_mapping_found
unmapped_row,,232,Общее,Рентабельность общая после выплаты основателям,,,,,,,,,no_mapping_found
unmapped_row,,234,Общее,Снятие наличных/перевод на карту для ПСН,,,,,,,,,no_mapping_found
unmapped_row,,235,Общее,Комиссия за снятие наличных / налоги на ИП,,,,,,,,,no_mapping_found
unmapped_row,,236,Общее,"Входящий остаток на начало периода, 1 число месяца",,,,,,,,,no_mapping_found
unmapped_row,,237,Общее,"Входящий остаток на конец периода, 1 число месяца",,,,,,,,,no_mapping_found
unmapped_row,,238,Общее,Вывод для ПСН (депозитный счет),,,,,,,,,no_mapping_found
unmapped_row,,251,Общее,Сальдо,,,,,,,,,no_mapping_found
aggregated,2025-04-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BR19,"2 756 139,00",2756139,
aggregated,2025-05-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BS19,"3 335 199,00",3335199,
aggregated,2025-06-01,19,Москва,Реализация_шоу,Revenue,b2c_moscow,general,general,general,BT19,"3 503 485,00",3503485,
aggregated,2025-04-01,22,Москва,Реализация_СД,Revenue,b2c_moscow,sd,general,general,BR22,"767 331,00",767331,
aggregated,2025-05-01,22,Москва,Реализация_СД,Revenue,b2c_moscow,sd,general,general,BS22,"991 015,00",991015,
aggregated,2025-06-01,22,Москва,Реализация_СД,Revenue,b2c_moscow,sd,general,general,BT22,"1 114 204,00",1114204,
aggregated,2025-04-01,25,B2B,Реализация - B2B,Revenue,b2b,general,general,general,BR25,"1 411 300,00",1411300,
aggregated,2025-05-01,25,B2B,Реализация - B2B,Revenue,b2b,general,general,general,BS25,"3 329 180,00",3329180,
aggregated,2025-06-01,25,B2B,Реализация - B2B,Revenue,b2b,general,general,general,BT25,"1 477 000,00",1477000,
skipped,2025-04-01,27,B2B,Спецпроекты_классический репертуар,Revenue,b2b,general,general,general,BR27,,,blank_or_non_numeric
skipped,2025-05-01,27,B2B,Спецпроекты_классический репертуар,Revenue,b2b,general,general,general,BS27,,,blank_or_non_numeric
skipped,2025-06-01,27,B2B,Спецпроекты_классический репертуар,Revenue,b2b,general,general,general,BT27,,,blank_or_non_numeric
skipped,2025-04-01,29,B2B,Спецпроекты_СД,Revenue,b2b,sd,general,general,BR29,,,blank_or_non_numeric
skipped,2025-05-01,29,B2B,Спецпроекты_СД,Revenue,b2b,sd,general,general,BS29,,,blank_or_non_numeric
skipped,2025-06-01,29,B2B,Спецпроекты_СД,Revenue,b2b,sd,general,general,BT29,,,blank_or_non_numeric
skipped,2025-04-01,31,B2B,Спецпроекты_онлайн,Revenue,b2b,online,general,general,BR31,,,blank_or_non_numeric
skipped,2025-05-01,31,B2B,Спецпроекты_онлайн,Revenue,b2b,online,general,general,BS31,,,blank_or_non_numeric
skipped,2025-06-01,31,B2B,Спецпроекты_онлайн,Revenue,b2b,online,general,general,BT31,,,blank_or_non_numeric
aggregated,2025-04-01,34,Москва,Выручка_сертификаты с понижающем кэфом,Revenue,b2c_moscow,certificate,general,general,BR34,"242 748,75",242748.75,
aggregated,2025-05-01,34,Москва,Выручка_сертификаты с понижающем кэфом,Revenue,b2c_moscow,certificate,general,general,BS34,"223 739,25",223739.25,
aggregated,2025-06-01,34,Москва,Выручка_сертификаты с понижающем кэфом,Revenue,b2c_moscow,certificate,general,general,BT34,"180 020,25",180020.25,
skipped,2025-04-01,38,Франшиза,Франшиза_паушалка,Revenue,franchise,general,general,general,BR38,,,blank_or_non_numeric
skipped,2025-05-01,38,Франшиза,Франшиза_паушалка,Revenue,franchise,general,general,general,BS38,,,blank_or_non_numeric
aggregated,2025-06-01,38,Франшиза,Франшиза_паушалка,Revenue,franchise,general,general,general,BT38,"100 000,00",100000,
skipped,2025-04-01,39,Франшиза,Франшиза_роялти,Revenue,franchise,general,general,general,BR39,,,blank_or_non_numeric
skipped,2025-05-01,39,Франшиза,Франшиза_роялти,Revenue,franchise,general,general,general,BS39,,,blank_or_non_numeric
aggregated,2025-06-01,39,Франшиза,Франшиза_роялти,Revenue,franchise,general,general,general,BT39,"12 000,00",12000,
skipped,2025-04-01,40,Франшиза,Франшиза_тотал,Revenue,franchise,general,general,general,BR40,,,blank_or_non_numeric
skipped,2025-05-01,40,Франшиза,Франшиза_тотал,Revenue,franchise,general,general,general,BS40,,,blank_or_non_numeric
aggregated,2025-06-01,40,Франшиза,Франшиза_тотал,Revenue,franchise,general,general,general,BT40,"112 000,00",112000,
skipped,2025-04-01,41,Франшиза,Франшиза Китай,Revenue,franchise,general,general,general,BR41,,,blank_or_non_numeric
skipped,2025-05-01,41,Франшиза,Франшиза Китай,Revenue,franchise,general,general,general,BS41,,,blank_or_non_numeric
skipped,2025-06-01,41,Франшиза,Франшиза Китай,Revenue,franchise,general,general,general,BT41,,,blank_or_non_numeric
skipped,2025-04-01,44,Москва,Прочие расходы,Other expenses,b2c_moscow,general,general,general,BR44,,,blank_or_non_numeric
skipped,2025-05-01,44,Москва,Прочие расходы,Other expenses,b2c_moscow,general,general,general,BS44,,,blank_or_non_numeric
skipped,2025-06-01,44,Москва,Прочие расходы,Other expenses,b2c_moscow,general,general,general,BT44,,,blank_or_non_numeric
aggregated,2025-04-01,45,Москва,ЗП актеров по начислению_ классический репертуар,Costs - Salary variable,b2c_moscow,general,general,general,BR45,"619 785,00",619785,
aggregated,2025-05-01,45,Москва,ЗП актеров по начислению_ классический репертуар,Costs - Salary variable,b2c_moscow,general,general,general,BS45,"827 180,00",827180,
aggregated,2025-06-01,45,Москва,ЗП актеров по начислению_ классический репертуар,Costs - Salary variable,b2c_moscow,general,general,general,BT45,"917 224,00",917224,
aggregated,2025-04-01,48,Москва,ЗП актеров-Судный день,Costs - Salary variable,b2c_moscow,sd,general,general,BR48,"216 460,00",216460,
aggregated,2025-05-01,48,Москва,ЗП актеров-Судный день,Costs - Salary variable,b2c_moscow,sd,general,general,BS48,"234 020,00",234020,
aggregated,2025-06-01,48,Москва,ЗП актеров-Судный день,Costs - Salary variable,b2c_moscow,sd,general,general,BT48,"221 680,00",221680,
aggregated,2025-04-01,50,Москва,Зарплата на 1 СД,Costs - Salary variable,b2c_moscow,,general,general,BR50,"12 732,94",12732.94,
aggregated,2025-05-01,50,Москва,Зарплата на 1 СД,Costs - Salary variable,b2c_moscow,,general,general,BS50,"12 316,84",12316.84,
skipped,2025-06-01,50,Москва,Зарплата на 1 СД,Costs - Salary variable,b2c_moscow,,general,general,BT50,,,blank_or_non_numeric
aggregated,2025-04-01,51,Москва,"Иные выплаты актерам, надбавки",Costs - Salary variable,b2c_moscow,general,general,general,BR51,"114 340,00",114340,
aggregated,2025-05-01,51,Москва,"Иные выплаты актерам, надбавки",Costs - Salary variable,b2c_moscow,general,general,general,BS51,"136 850,00",136850,
aggregated,2025-06-01,51,Москва,"Иные выплаты актерам, надбавки",Costs - Salary variable,b2c_moscow,general,general,general,BT51,"242 505,00",242505,
skipped,2025-04-01,52,Москва,Продажи актеров,Actor upsell sales,b2c_moscow,general,general,general,BR52,,,blank_or_non_numeric
skipped,2025-05-01,52,Москва,Продажи актеров,Actor upsell sales,b2c_moscow,general,general,general,BS52,,,blank_or_non_numeric
skipped,2025-06-01,52,Москва,Продажи актеров,Actor upsell sales,b2c_moscow,general,general,general,BT52,,,blank_or_non_numeric
skipped,2025-04-01,53,B2B,З/п бонус админа_корпоратив,Costs - Salary fixed,b2b,general,general,general,BR53,,,blank_or_non_numeric
skipped,2025-05-01,53,B2B,З/п бонус админа_корпоратив,Costs - Salary fixed,b2b,general,general,general,BS53,,,blank_or_non_numeric
skipped,2025-06-01,53,B2B,З/п бонус админа_корпоратив,Costs - Salary fixed,b2b,general,general,general,BT53,,,blank_or_non_numeric
skipped,2025-04-01,54,B2B,З/п бонус админа_корпоратив театр,Costs - Salary fixed,b2b,general,general,general,BR54,,,blank_or_non_numeric
skipped,2025-05-01,54,B2B,З/п бонус админа_корпоратив театр,Costs - Salary fixed,b2b,general,general,general,BS54,,,blank_or_non_numeric
skipped,2025-06-01,54,B2B,З/п бонус админа_корпоратив театр,Costs - Salary fixed,b2b,general,general,general,BT54,,,blank_or_non_numeric
aggregated,2025-04-01,55,Москва,З/п бонус Митя_СД,Costs - Salary fixed,b2c_moscow,,general,general,BR55,"8 000,00",8000,
aggregated,2025-05-01,55,Москва,З/п бонус Митя_СД,Costs - Salary fixed,b2c_moscow,,general,general,BS55,"9 500,00",9500,
aggregated,2025-06-01,55,Москва,З/п бонус Митя_СД,Costs - Salary fixed,b2c_moscow,,general,general,BT55,"9 000,00",9000,
skipped,2025-04-01,56,Москва,З/п бонус Иное место Андрея,Costs - Salary fixed,b2c_moscow,,general,general,BR56,,,blank_or_non_numeric
aggregated,2025-05-01,56,Москва,З/п бонус Иное место Андрея,Costs - Salary fixed,b2c_moscow,,general,general,BS56,"15 200,00",15200,
