sheet_unit,row_number,col_a,col_b,value,transfer_status,reason,target_metric_or_metrics,source_cell_a1,source_cell_url
b2c_moscow,4,Поступления на счет,Поступления на счет,1 430 344,не перенесено,not_map_to_metric,,KZ4,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ4
b2c_moscow,5,Поступления на счет - B2C,Поступления на счет - B2C,1 420 344,перенесено,,Revenue,KZ5,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ5
b2c_moscow,8,билеты,билеты,863 058,перенесено,,Number of tickets,KZ8,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ8
b2c_moscow,9,билеты,билеты виджет (сайт),701 664,перенесено,,Number of tickets,KZ9,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ9
b2c_moscow,10,билеты,билеты яндекс афиша,42 390,перенесено,,Number of tickets,KZ10,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ10
b2c_moscow,11,билеты,билеты от остальных агрегаторов,119 004,перенесено,,Number of tickets,KZ11,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ11
b2c_moscow,12,билеты,афиша.ру,84 444,перенесено,,Number of tickets,KZ12,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ12
b2c_moscow,13,билеты,кассир,34 560,перенесено,,Number of tickets,KZ13,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ13
b2c_moscow,14,билеты,тикетленд,0,перенесено,,Number of tickets,KZ14,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ14
b2c_moscow,15,билеты сд,билеты сд,293 532,перенесено,,Number of tickets,KZ15,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ15
b2c_moscow,16,билеты сд,билет сд виджет (сайт),238 752,перенесено,,Number of tickets,KZ16,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ16
b2c_moscow,17,билеты сд,билеты сд яндекс афиша,24 750,перенесено,,Number of tickets,KZ17,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ17
b2c_moscow,18,билеты сд,билеты сд от остальных агрегаторов,30 030,перенесено,,Number of tickets,KZ18,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ18
b2c_moscow,19,билеты сд,афиша.ру,10 230,перенесено,,Number of tickets,KZ19,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ19
b2c_moscow,20,билеты сд,кассир,19 800,перенесено,,Number of tickets,KZ20,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ20
b2c_moscow,21,билеты сд,тикетленд,0,перенесено,,Number of tickets,KZ21,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ21
b2c_moscow,22,Сертификаты (продажи),Сертификаты (продажи),196 170,не перенесено,multi_target_metric,Revenue; Number of certificates,KZ22,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ22
b2c_moscow,23,Сертификаты (продажи),сертификаты электронные,128 813,не перенесено,multi_target_metric,Revenue; Number of certificates,KZ23,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ23
b2c_moscow,24,Сертификаты (продажи),сертификаты бумажные,67 357,не перенесено,multi_target_metric,Revenue; Number of certificates,KZ24,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ24
b2c_moscow,25,Сертификаты (продажи),сертификаты через партнеров,0,не перенесено,multi_target_metric,Revenue; Number of certificates,KZ25,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ25
b2c_moscow,26,Сертификаты (продажи),доля сертификатов в выручке,"13,71%",не перенесено,not_map_to_metric,,KZ26,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ26
b2c_moscow,27,Спецпоказы (продажи) юкасса\по счету,Спецпоказы (продажи) юкасса\по счету,50 600,перенесено,,Revenue - Other,KZ27,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ27
b2c_moscow,28,Другое юкасса,Другое юкасса,16 984,перенесено,,Revenue - Other,KZ28,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ28
b2c_moscow,30,Сертификаты и билеты (бесплатные),Сертификаты и билеты (бесплатные),32 100,не перенесено,missing_staging_row,Number of free certificates and tickets,KZ30,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ30
b2c_moscow,31,Франшиза,Франшиза,10 000,перенесено,,Revenue,KZ31,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ31
b2c_moscow,32,Средств на счете,Средств на счете,"3 615 813,81",перенесено,,Account balance,KZ32,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ32
b2c_moscow,33,Приход с депозита,Приход с депозита,"1 553,42",перенесено,,Revenue - Financial operations,KZ33,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ33
b2c_moscow,34,Сумма возвратов,Сумма возвратов,11 500,перенесено,,Returns amount,KZ34,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ34
b2c_moscow,37,Сумма возвратов,% возвратов от выручки,"0,81%",не перенесено,not_map_to_metric,,KZ37,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ37
b2c_moscow,38,Всего билетов (выкуплено через сайт и все агрегаторы),Всего билетов (выкуплено через сайт и все агрегаторы),297,перенесено,,Number of tickets,KZ38,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ38
b2c_moscow,41,Проведено шоу (БЕЗ СД),Проведено шоу (БЕЗ СД),43,перенесено,,Number of shows,KZ41,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ41
b2c_moscow,42,Отменено шоу (не СД),Отменено шоу (не СД),7,перенесено,,Number of shows cancelled,KZ42,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ42
b2c_moscow,43,Отменено шоу (не СД),"Кол-во, где не выкуплены билеты",7,перенесено,,Number of cancelled non-SD shows - no tickets sold,KZ43,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ43
b2c_moscow,44,Отменено шоу (не СД),Кол-во из-за спецпоказов,0,перенесено,,Number of cancelled non-SD shows - special shows,KZ44,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ44
b2c_moscow,45,Отменено шоу (не СД),Кол-во из-за дефицита актёров/ мастеров,0,перенесено,,Number of cancelled non-SD shows - actor/master shortage,KZ45,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ45
b2c_moscow,46,Проведено СД,Проведено СД,5,перенесено,,Number of shows,KZ46,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ46
b2c_moscow,47,Отменено СД,Отменено СД,0,перенесено,,Number of shows cancelled,KZ47,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ47
b2c_moscow,48,Отменено СД,"Кол-во, где не выкуплены билеты",0,перенесено,,Number of cancelled SD shows - no tickets sold,KZ48,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ48
b2c_moscow,49,Отменено СД,Кол-во из-за спецпоказов,0,перенесено,,Number of cancelled SD shows - special shows,KZ49,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ49
b2c_moscow,50,Отменено СД,Кол-во из-за дефицита актёров/ мастеров,0,перенесено,,Number of cancelled SD shows - actor/master shortage,KZ50,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ50
b2c_moscow,51,Зрители дошедшие (без зрителей СД),Зрители дошедшие (без зрителей СД),213,перенесено,,Number of show visitors,KZ51,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ51
b2c_moscow,52,Зрители дошедшие СД,Зрители дошедшие СД,49,перенесено,,Number of show visitors,KZ52,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ52
b2c_moscow,54,Сложность составления расписания (1 min-5max),Сложность составления расписания (1 min-5max),"2,00",перенесено,,Scheduling complexity,KZ54,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ54
