sheet_unit,row_number,col_a,col_b,value,reviewed_target_metric_or_metrics,effective_ingestion_action,effective_target_metric_or_metrics,latest_import_status,latest_import_reason,final_status,final_reason,source_cell_a1,source_cell_url
b2c_moscow,4,Поступления на счет,Поступления на счет,1 430 344,,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ4,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ4
b2c_moscow,5,Поступления на счет - B2C,Поступления на счет - B2C,1 420 344,Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ5,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ5
b2c_moscow,8,билеты,билеты,863 058,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ8,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ8
b2c_moscow,9,билеты,билеты виджет (сайт),701 664,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ9,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ9
b2c_moscow,10,билеты,билеты яндекс афиша,42 390,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ10,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ10
b2c_moscow,11,билеты,билеты от остальных агрегаторов,119 004,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ11,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ11
b2c_moscow,12,билеты,афиша.ру,84 444,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ12,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ12
b2c_moscow,13,билеты,кассир,34 560,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ13,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ13
b2c_moscow,14,билеты,тикетленд,0,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ14,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ14
b2c_moscow,15,билеты сд,билеты сд,293 532,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ15,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ15
b2c_moscow,16,билеты сд,билет сд виджет (сайт),238 752,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ16,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ16
b2c_moscow,17,билеты сд,билеты сд яндекс афиша,24 750,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ17,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ17
b2c_moscow,18,билеты сд,билеты сд от остальных агрегаторов,30 030,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ18,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ18
b2c_moscow,19,билеты сд,афиша.ру,10 230,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ19,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ19
b2c_moscow,20,билеты сд,кассир,19 800,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ20,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ20
b2c_moscow,21,билеты сд,тикетленд,0,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ21,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ21
b2c_moscow,22,Сертификаты (продажи),Сертификаты (продажи),196 170,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ22,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ22
b2c_moscow,23,Сертификаты (продажи),сертификаты электронные,128 813,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ23,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ23
b2c_moscow,24,Сертификаты (продажи),сертификаты бумажные,67 357,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ24,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ24
b2c_moscow,25,Сертификаты (продажи),сертификаты через партнеров,0,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ25,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ25
b2c_moscow,26,Сертификаты (продажи),доля сертификатов в выручке,"13,71 %",,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ26,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ26
b2c_moscow,27,Спецпоказы (продажи) юкасса\по счету,Спецпоказы (продажи) юкасса\по счету,50 600,Revenue - Other,map_to_metric,Revenue - Other,inserted,,перенесено,,KZ27,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ27
b2c_moscow,28,Другое юкасса,Другое юкасса,16 984,Revenue - Other,map_to_metric,Revenue - Other,inserted,,перенесено,,KZ28,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ28
b2c_moscow,30,Сертификаты и билеты (бесплатные),Сертификаты и билеты (бесплатные),32 100,Number of free certificates and tickets,map_to_metric,Number of free certificates and tickets,inserted,fallback_live_sheet,перенесено,,KZ30,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ30
b2c_moscow,31,Франшиза,Франшиза,10 000,Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ31,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ31
b2c_moscow,32,Средств на счете,Средств на счете,"3 615 813,81",Account balance,map_to_metric,Account balance,inserted,,перенесено,,KZ32,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ32
b2c_moscow,33,Приход с депозита,Приход с депозита,"1 553,42",Revenue - Financial operations,map_to_metric,Revenue - Financial operations,inserted,,перенесено,,KZ33,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ33
