metric_name,business_unit_scope,show_scope,partner_scope,channel_scope,source_system,source_label,minimal_frequency,availability_status,credibility,source_row_ref
Account balance,b2b,general,b2b_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,78
Account balance,b2c_moscow,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,76
Account balance,b2c_moscow,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,76
Account balance,b2c_spb,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,77
Account balance,b2c_spb,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,77
Average review rating overall,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_107
Average review rating overall,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_64
Average review rating weekly genuine,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_103
Average review rating weekly genuine,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_60
Average review rating weekly overall,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_102
Average review rating weekly overall,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_59
Average review rating weekly without negatives after resolution,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_106
Average review rating weekly without negatives after resolution,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_63
Cost article - IT ФОТ,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Доставка,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Доставка,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Доставка,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Доставка,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
