business_unit	source_metric	target_type	target_name	target_ref	note
Москва	Проведено шоу	weekly_metric	Проведено шоу (БЕЗ СД)	b2c_moscow.provedeno_shou_bez_sd.provedeno_shou_bez_sd	
Москва	Гостей	weekly_metric	Зрители дошедшие (без зрителей СД)	b2c_moscow.zriteli_doshedshie_bez_zriteley_sd.zriteli_doshedshie_bez_zriteley_sd	Блок: шоу
Москва	Среднее количество гостей	calculated_formula	Гостей / Проведено шоу	Зрители дошедшие (без зрителей СД) / Проведено шоу (БЕЗ СД)	Блок: шоу
Москва	%заполняемости	weekly_metric	Средняя загрузка шоу (по факту дошедшие зрители)	b2c_moscow.srednyaya_zagruzka_shou_po_faktu_doshedshie_zriteli.srednyaya_zagruzka_shou_po_faktu_doshedshie_zriteli	Блок: шоу
Москва	Проведено шоу оффлайн			
Москва	Гостей			Блок: шоу оффлайн
Москва	%заполняемости			Блок: шоу оффлайн
Москва	Проведено шоу онлайн			
Москва	Гостей			Блок: шоу онлайн
Москва	%заполняемости			Блок: шоу онлайн
Москва	Проведено СД	weekly_metric	Проведено СД	b2c_moscow.provedeno_sd.provedeno_sd	
Москва	Гостей	weekly_metric	Зрители дошедшие СД	b2c_moscow.zriteli_doshedshie_sd.zriteli_doshedshie_sd	Блок: СД
Москва	Среднее количество гостей	calculated_formula	Гостей / Проведено СД	Зрители дошедшие СД / Проведено СД	Блок: СД
Москва	%заполняемости	weekly_metric	Средняя загрузка СД (по факту дошедшие зрители)	b2c_moscow.srednyaya_zagruzka_sd_po_faktu_doshedshie_zriteli.srednyaya_zagruzka_sd_po_faktu_doshedshie_zriteli	Блок: СД
Москва	Реализация_шоу	pnl_article	Продажа билетов Москва	income/Доходы/Продажа билетов B2C/Продажа билетов Москва	
Москва	Средняя цена одного билета	calculated_formula	Реализация_шоу / Гостей	Продажа билетов Москва / Зрители дошедшие (без зрителей СД)	
Москва	%к выручке	calculated_formula	Реализация_шоу / Расчетная выручка периода	Продажа билетов Москва / Расчетная выручка периода (по реализации)	
Москва	Реализация_СД			
Москва	Средняя цена одного билета	calculated_formula	Реализация_СД / Гостей	Реализация_СД / Зрители дошедшие СД	Прямого источника Реализация_СД пока нет
Москва	% к выручке	calculated_formula	Реализация_СД / Расчетная выручка периода	Реализация_СД / Расчетная выручка периода (по реализации)	
B2B	Спецпроекты_корпоративы	pnl_article	Организация мероприятий (B2B)	income/Доходы/Организация мероприятий (B2B)	
B2B	%к выручке	calculated_formula	Спецпроекты_корпоративы / Расчетная выручка периода	Организация мероприятий (B2B) / Расчетная выручка периода (по реализации)	
B2B	Спецпроекты_классический репертуар			
B2B	%к выручке	calculated_formula	Спецпроекты_классический репертуар / Расчетная выручка периода	Спецпроекты_классический репертуар / Расчетная выручка периода (по реализации)	
B2B	Спецпроекты_СД			
B2B	% к выручке	calculated_formula	Спецпроекты_СД / Расчетная выручка периода	Спецпроекты_СД / Расчетная выручка периода (по реализации)	
B2B	Спецпроекты_онлайн			
Москва	% к выручке	calculated_formula	Спецпроекты_онлайн / Расчетная выручка периода	Спецпроекты_онлайн / Расчетная выручка периода (по реализации)	
Москва	Выручка_сертификаты	weekly_metric	Сертификаты (продажи)	b2c_moscow.sertifikaty_prodazhi.sertifikaty_prodazhi	
Москва	Выручка_сертификаты с понижающем кэфом	calculated_formula	Выручка_сертификаты * коэффициент признания	Сертификаты (продажи) * business_rule	Нужен согласованный коэффициент
Москва	% отнесения на выручку	calculated_formula	Выручка_сертификаты с понижающем кэфом / Выручка_сертификаты	Выручка_сертификаты с понижающем кэфом / Выручка_сертификаты	
Москва	%к выручке	calculated_formula	Выручка_сертификаты / Расчетная выручка периода	Выручка_сертификаты / Расчетная выручка периода (по реализации)	
Франшиза	Франшиза_паушалка	pnl_article	Паушалка	income/Доходы/Франшиза/Паушалка	
Франшиза	Франшиза_роялти	pnl_article	Роялти	income/Доходы/Франшиза/Роялти	
Франшиза	Франшиза_тотал	pnl_article	Франшиза	income/Доходы/Франшиза	
Франшиза	Франшиза Китай			
Франшиза	%к выручке	calculated_formula	Франшиза_тотал / Расчетная выручка периода	Франшиза / Расчетная выручка периода (по реализации)	
Общее	Расчетная выручка периода (по реализации)	calculated_formula	Сумма ключевых источников выручки	Реализация_шоу + Реализация_СД + Спецпроекты_корпоративы + Франшиза_тотал + Выручка_сертификаты с понижающем кэфом	
Москва	Переменные расходы	calculated_formula	Сумма переменных расходов Москва	Сумма строк блока переменных расходов Москва	
Москва	ЗП актеров по начислению_ классический репертуар	pnl_article	Актёры ФОТ	expense/Расходы/ФОТ/Актёры ФОТ	
Москва	% ФОТ в выручке ШОУ	calculated_formula	ЗП актеров по начислению_ классический репертуар / Реализация_шоу	Актёры ФОТ / Продажа билетов Москва	
Москва	Зарплаты на 1 шоу	calculated_formula	ЗП актеров по начислению_ классический репертуар / Проведено шоу	Актёры ФОТ / Проведено шоу (БЕЗ СД)	
Москва	ЗП актеров-Судный день			
